trip_id,0521,0529,0536,0539,0801,0806,0811,0816,0821,0826,0901,0906,2241G,2242F,2246F,2351F,2397F,2720F,2726F,2793F,2794F,3308F,3360F,3480,5200F,5205,5261,5264F,5265F,5266F,5267,5311,5312,5352,5407F,5413F,5414F,5415F,5416F,5451F,5459F,5460F,5461F,5462F,5468,5714,5762,6201F,6202,6204,6258,6260F,6419F
113480369238202001,,,,,05:51:00,,05:49:12,,05:47:37,,05:52:02,,,05:45:00,05:46:00,,06:02:00,,,05:40:00,,,05:42:00,,06:00:00,05:57:46,,,,05:56:09,,05:54:52,05:53:00,,06:03:00,06:04:24,06:06:00,06:07:17,06:08:00,,,,,,,,,,,05:43:39,,,
113480370238202001,,,,,,05:58:00,,05:59:38,,06:01:05,,05:57:03,06:03:00,,,,,,,06:07:00,,06:06:00,,05:49:00,,,05:51:45,05:50:00,05:53:11,,05:54:20,,,05:56:00,,,,,,05:42:00,05:42:41,05:44:00,05:45:11,05:46:00,05:46:52,,,,,,06:04:14,,
113480372238202001,,,,,24:13:00,,24:11:12,,24:09:37,,24:14:02,,,24:07:00,24:08:00,,24:24:00,,,24:02:00,,,24:04:00,,24:22:00,24:19:46,,,,24:18:09,,24:16:52,24:15:00,,24:25:00,24:26:24,24:28:00,24:29:17,24:30:00,,,,,,,,,,,24:05:39,,,
113480374238202001,,,,,25:01:00,,24:59:12,,24:57:37,,25:02:02,,,24:55:00,24:56:00,25:12:00,,,,24:50:00,,,24:52:00,,25:10:00,25:07:46,,,,25:06:09,,25:04:52,25:03:00,,,,,,,,,,,,,,,,,24:53:39,,,
113480375238202001,04:52:00,,,04:54:00,,,,,,,,,,,,,,,04:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,04:50:00,,,,,,,
113480378238202001,,,20:28:00,20:27:00,,,,,,,,,,,,,,20:32:00,,,20:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,20:31:00,20:34:36,20:36:00,,,,
113480379238202001,,,,,,05:18:00,,05:19:38,,05:21:05,,05:17:03,05:23:00,,,,,,,05:27:00,,05:26:00,,05:09:00,,,05:11:45,05:10:00,05:13:11,,05:14:20,,,05:16:00,,,,,,,,,,,,,,,,,05:24:14,,
113480380238202001,24:55:00,24:57:00,,,,,,,,,,,,,,,,,24:51:00,,24:46:00,,,,,,,,,,,,,,,,,,,,,,,,,24:53:00,,,,,,24:49:03,24:48:00
113480381238202001,,,,,,,,,,,,,,,,,05:25:00,,,,,,,,,,,,,,,,,,05:26:00,05:27:24,05:29:00,05:30:17,05:31:00,,,,,,,,,,,,,,
113480382238202001,05:15:00,,,05:17:00,,,,,,,,,,,,,,,05:11:00,,05:06:00,,,,,,,,,,,,,,,,,,,,,,,,,05:13:00,,,,,,05:09:03,05:08:00
113480384238202001,24:38:00,24:40:00,,,,,,,,,,,,,,,,,24:34:00,,24:29:00,,,,,,,,,,,,,,,,,,,,,,,,,24:36:00,,,,,,24:32:03,24:31:00
113480394238202001,,,20:41:00,20:40:00,,,,,,,,,,,,,,20:45:00,,,20:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,20:44:00,20:47:36,20:49:00,,,,
113480395238202001,,,23:43:00,23:42:00,,,,,,,,,,,,,,23:47:00,,,23:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,23:46:00,23:48:57,23:50:00,,,,
113480396238202001,,,23:13:00,23:12:00,,,,,,,,,,,,,,23:17:00,,,23:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,23:16:00,23:18:57,23:20:00,,,,
113480397238202001,21:52:00,,,21:54:00,,,,,,,,,,,,,,,21:48:00,,21:43:00,,,,,,,,,,,,,,,,,,,,,,,,,21:50:00,,,,,,21:46:03,21:45:00
113480398238202001,22:07:00,,,22:09:00,,,,,,,,,,,,,,,22:03:00,,21:58:00,,,,,,,,,,,,,,,,,,,,,,,,,22:05:00,,,,,,22:01:03,22:00:00
113480399238202001,,,24:31:00,24:30:00,,,,,,,,,,,,,,24:35:00,,,24:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,24:34:00,24:36:57,24:38:00,,,,
113480400238202001,21:07:00,,,21:09:00,,,,,,,,,,,,,,,21:03:00,,20:58:00,,,,,,,,,,,,,,,,,,,,,,,,,21:05:00,,,,,,21:01:03,21:00:00
113480401238202001,,,,,,,,,,,,,,,,25:22:00,,,,,,,,,,,,,,,,,,,,,,,,25:14:00,25:14:41,25:16:00,25:17:11,25:18:00,25:19:11,,,,,,,,
113480402238202001,,,21:58:00,21:57:00,,,,,,,,,,,,,,22:02:00,,,22:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,22:01:00,22:03:57,22:05:00,,,,
113480403238202001,,,24:13:00,24:12:00,,,,,,,,,,,,,,24:17:00,,,24:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,24:16:00,24:18:57,24:20:00,,,,
113480404238202001,,,22:28:00,22:27:00,,,,,,,,,,,,,,22:32:00,,,22:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,22:31:00,22:33:57,22:35:00,,,,
113480405238202001,22:37:00,,,22:39:00,,,,,,,,,,,,,,,22:33:00,,22:28:00,,,,,,,,,,,,,,,,,,,,,,,,,22:35:00,,,,,,22:31:03,22:30:00
113480406238202001,,,23:28:00,23:27:00,,,,,,,,,,,,,,23:32:00,,,23:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,23:31:00,23:33:57,23:35:00,,,,
113480407238202001,,,21:10:00,21:09:00,,,,,,,,,,,,,,21:14:00,,,21:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,21:13:00,21:15:57,21:17:00,,,,
113480408238202001,,,22:43:00,22:42:00,,,,,,,,,,,,,,22:47:00,,,22:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,22:46:00,22:48:57,22:50:00,,,,
113480409238202001,,,22:58:00,22:57:00,,,,,,,,,,,,,,23:02:00,,,23:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,23:01:00,23:03:57,23:05:00,,,,
113480410238202001,,,,,,,,,,,,,,,,24:40:00,,,,,,,,,,,,,,,,,,,,,,,,24:32:00,24:32:41,24:34:00,24:35:11,24:36:00,24:37:11,,,,,,,,
113480411238202001,,,,,,21:39:00,,21:40:38,,21:42:05,,21:38:03,21:44:00,,,,,,,21:49:00,,21:48:00,,21:30:00,,,21:32:45,21:31:00,21:34:11,,21:35:20,,,21:37:00,,,,,,21:22:00,21:22:41,21:24:00,21:25:11,21:26:00,21:27:09,,,,,,21:45:39,,
113480412238202001,,,,,21:42:00,,21:40:12,,21:38:37,,21:43:02,,,21:36:00,21:37:00,,21:53:00,,,21:31:00,,,21:33:00,,21:51:00,21:48:46,,,,21:47:09,,21:45:52,21:44:00,,21:54:00,21:55:24,21:57:00,21:58:17,21:59:00,,,,,,,,,,,21:34:39,,,
