trip_id,1951,1984B,1985B,2382,2384,2610,2660,3810,3814,3815,3851,5058,5916,5917,5920C,5921B,5922,5923,5952,5953,5963,5964,9649B,9686B
113349571237570001,08:17:00,,08:14:00,,07:52:00,,08:06:40,07:58:47,07:59:48,,,08:16:28,08:09:55,08:11:22,,08:09:00,,08:08:04,,,08:01:48,,08:04:42,
113349572237570001,,,18:20:00,,18:01:00,,18:13:56,18:06:59,18:07:53,,,18:24:00,18:16:44,18:17:53,,18:16:00,,18:15:11,,,18:09:39,,18:12:12,
113349574237570001,08:48:00,08:50:00,,09:17:00,,08:57:51,,,,09:07:51,09:08:59,,,,08:55:00,,08:57:02,,08:52:43,08:54:07,,09:05:04,,09:00:58
113349578237570001,07:25:00,07:27:00,,07:51:00,,07:34:28,,,,07:43:06,07:44:04,,,,07:32:00,,07:33:46,,07:29:43,07:31:07,,07:40:42,,07:37:09
113349580237570001,17:04:00,,17:01:00,,16:40:00,,16:53:48,16:46:23,16:47:21,,,17:03:28,16:56:55,16:58:22,,16:56:00,,16:55:07,,,16:49:14,,16:51:57,
113349581237570001,07:17:00,,07:14:00,,06:55:00,,07:07:56,07:00:59,07:01:53,,,07:16:28,07:10:44,07:11:53,,07:10:00,,07:09:11,,,07:03:39,,07:06:12,
113349583237570001,17:21:00,17:23:00,,17:44:00,,17:30:04,,,,17:37:21,17:38:10,,,,17:28:00,,17:29:29,,17:25:43,17:27:07,,17:35:19,,17:32:20
113349584237570001,16:43:00,,16:40:00,,16:19:00,,16:32:48,16:25:23,16:26:21,,,16:42:28,16:35:55,16:37:22,,16:35:00,,16:34:07,,,16:28:14,,16:30:57,
113349585237570001,19:33:00,,19:30:00,,19:12:00,,19:24:04,19:17:36,19:18:26,,,19:32:28,19:26:44,19:27:53,,19:26:00,,19:25:14,,,19:20:05,,19:22:28,
113349587237570001,15:21:00,,15:18:00,,14:58:00,,15:10:56,15:03:59,15:04:53,,,15:20:28,15:13:55,15:15:22,,15:13:00,,15:12:11,,,15:06:39,,15:09:12,
113349589237570001,18:06:00,,18:02:00,,17:42:00,,17:55:48,17:48:23,17:49:21,,,18:05:18,17:58:44,17:59:53,,17:58:00,,17:57:07,,,17:51:14,,17:53:57,
113349590237570001,07:36:00,,07:33:00,,07:13:00,,07:26:48,07:19:23,07:20:21,,,07:35:28,07:29:44,07:30:53,,07:29:00,,07:28:07,,,07:22:14,,07:24:57,
113349592237570001,18:39:00,18:41:00,,19:00:00,,18:47:49,,,,18:54:11,18:54:54,,,,18:46:00,,18:47:18,,18:43:43,18:45:07,,18:52:24,,18:49:48
113349593237570001,06:39:00,06:41:00,,06:58:00,,06:46:41,,,,06:52:36,06:53:16,,,,06:45:00,,06:46:12,,06:43:11,06:44:18,,06:50:57,,06:48:31
