trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354275237585601,,16:08:00,16:31:00,,,16:27:00,,16:06:00,16:05:00,16:22:55,,,,,,,,,16:09:19,16:10:05,16:11:00,16:12:17,16:15:45,16:17:10,16:18:21,16:20:13,16:21:59,16:14:00,,,16:24:00,,,16:14:38,
113354276237585601,,17:07:00,17:30:00,,,17:26:00,,17:05:00,17:04:00,17:21:55,,,,,,,,,17:08:19,17:09:05,17:10:00,17:11:17,17:14:45,17:16:10,17:17:21,17:19:13,17:20:59,17:13:00,,,17:23:00,,,17:13:38,
113354277237585601,,12:08:00,12:29:00,,,12:25:34,,12:06:00,12:05:00,12:22:01,,,,,,,,,12:09:19,12:10:05,12:11:00,12:12:17,12:15:35,12:16:51,12:17:55,12:19:36,12:21:11,12:14:00,,,12:23:00,,,12:14:34,
113354278237585601,,13:27:00,13:49:00,,,13:45:34,,13:25:00,13:24:00,13:41:55,,,,,,,,,13:28:19,13:29:05,13:30:00,13:31:17,13:34:45,13:36:10,13:37:21,13:39:13,13:40:59,13:33:00,,,13:43:00,,,13:33:38,
113354279237585601,,18:25:00,18:48:00,,,18:44:00,,18:23:00,18:22:00,18:39:55,,,,,,,,,18:26:19,18:27:05,18:28:00,18:29:17,18:32:45,18:34:10,18:35:21,18:37:13,18:38:59,18:31:00,,,18:41:00,,,18:31:38,
113354280237585601,,17:46:00,18:09:00,,,18:05:00,,17:44:00,17:43:00,18:00:55,,,,,,,,,17:47:19,17:48:05,17:49:00,17:50:17,17:53:45,17:55:10,17:56:21,17:58:13,17:59:59,17:52:00,,,18:02:00,,,17:52:38,
113354281237585601,,16:47:00,17:10:00,,,17:06:00,,16:45:00,16:44:00,17:01:55,,,,,,,,,16:48:19,16:49:05,16:50:00,16:51:17,16:54:45,16:56:10,16:57:21,16:59:13,17:00:59,16:53:00,,,17:03:00,,,16:53:38,
113354282237585601,,15:48:00,16:11:00,,,16:07:00,,15:46:00,15:45:00,16:02:55,,,,,,,,,15:49:19,15:50:05,15:51:00,15:52:17,15:55:45,15:57:10,15:58:21,16:00:13,16:01:59,15:54:00,,,16:04:00,,,15:54:38,
113354283237585601,,15:08:00,15:31:00,,,15:27:00,,15:06:00,15:05:00,15:22:55,,,,,,,,,15:09:19,15:10:05,15:11:00,15:12:17,15:15:45,15:17:10,15:18:21,15:20:13,15:21:59,15:14:00,,,15:24:00,,,15:14:38,
113354284237585601,,11:48:00,12:09:00,,,12:05:34,,11:46:00,11:45:00,12:02:01,,,,,,,,,11:49:19,11:50:05,11:51:00,11:52:17,11:55:35,11:56:51,11:57:55,11:59:36,12:01:11,11:54:00,,,12:03:00,,,11:54:34,
113354285237585601,,11:28:00,11:49:00,,,11:45:34,,11:26:00,11:25:00,11:42:01,,,,,,,,,11:29:19,11:30:05,11:31:00,11:32:17,11:35:35,11:36:51,11:37:55,11:39:36,11:41:11,11:34:00,,,11:43:00,,,11:34:34,
113354286237585601,,11:08:00,11:29:00,,,11:25:34,,11:06:00,11:05:00,11:22:01,,,,,,,,,11:09:19,11:10:05,11:11:00,11:12:17,11:15:35,11:16:51,11:17:55,11:19:36,11:21:11,11:14:00,,,11:23:00,,,11:14:34,
113354287237585601,,10:28:00,10:49:00,,,10:45:34,,10:26:00,10:25:00,10:42:01,,,,,,,,,10:29:19,10:30:05,10:31:00,10:32:17,10:35:35,10:36:51,10:37:55,10:39:36,10:41:11,10:34:00,,,10:43:00,,,10:34:34,
113354288237585601,,10:08:00,10:29:00,,,10:25:34,,10:06:00,10:05:00,10:22:01,,,,,,,,,10:09:19,10:10:05,10:11:00,10:12:17,10:15:35,10:16:51,10:17:55,10:19:36,10:21:11,10:14:00,,,10:23:00,,,10:14:34,
113354289237585601,,09:48:00,10:09:00,,,10:05:34,,09:46:00,09:45:00,10:02:01,,,,,,,,,09:49:19,09:50:05,09:51:00,09:52:17,09:55:35,09:56:51,09:57:55,09:59:36,10:01:11,09:54:00,,,10:03:00,,,09:54:34,
113354290237585601,,08:26:00,08:46:00,,,08:42:34,,08:24:00,08:23:00,08:39:01,,,,,,,,,08:27:19,08:28:05,08:29:00,08:29:51,08:32:35,08:33:51,08:34:55,08:36:36,08:38:11,08:31:00,,,08:40:00,,,08:31:34,
113354291237585601,,06:58:00,07:18:00,,,07:14:34,,06:56:00,06:55:00,07:11:01,,,,,,,,,06:59:19,07:00:05,07:01:00,07:01:51,07:04:35,07:05:51,07:06:55,07:08:36,07:10:11,07:03:00,,,07:12:00,,,07:03:34,
113354292237585601,,06:29:00,06:48:00,,,06:44:34,,06:27:00,06:26:00,06:41:08,,,,,,,,,06:30:19,06:31:05,06:32:00,06:32:51,06:35:24,06:36:32,06:37:29,06:38:59,06:40:23,06:34:00,,,06:42:00,,,06:34:31,
113354293237585601,20:54:00,,20:34:00,20:37:25,20:36:11,,20:56:00,,20:57:00,,20:42:07,20:43:39,20:44:56,20:45:50,20:49:28,20:51:42,20:51:00,20:52:33,,,,,,,,,,,20:48:00,20:39:00,,20:40:33,20:47:21,,
113354294237585601,19:55:00,,19:34:00,19:37:25,19:36:11,,19:57:00,,19:58:00,,19:42:27,19:44:10,19:45:36,19:46:36,19:50:28,19:52:42,19:52:00,19:53:33,,,,,,,,,,,19:49:00,19:39:00,,19:40:43,19:48:17,,
113354295237585601,19:00:00,,18:37:00,18:40:25,18:39:11,,19:02:00,,19:03:00,,18:45:48,18:47:41,18:49:15,18:50:21,18:54:28,18:56:56,18:56:00,18:58:04,,,,,,,,,,,18:53:00,18:42:00,,18:43:53,18:52:12,,
