trip_id,1229,1231,1232,1239,1240,1411,1413,1414,1790,2604,2608,2663,2667,2669,2735,2736,5101B,5111B,5121,5721,7360,7903
113713832239004002,,,15:38:21,,15:36:44,,15:28:00,15:33:37,15:24:00,,,15:25:00,15:35:20,15:26:03,15:40:11,15:41:40,,15:45:39,,,15:47:00,15:43:20
113713833239004002,,,16:38:21,,16:36:44,,16:28:00,16:33:37,16:24:00,,,16:25:00,16:35:20,16:26:03,16:40:11,16:41:40,,16:45:39,,,16:47:00,16:43:20
113713834239004002,,,17:39:21,,17:37:44,,17:29:00,17:34:37,17:25:00,,,17:26:00,17:36:20,17:27:03,17:41:11,17:42:40,,17:46:39,,,17:48:00,17:44:20
113713835239004002,,,18:38:16,,18:36:49,,18:29:00,18:34:01,18:25:00,,,18:26:00,18:35:34,18:27:03,18:39:54,18:41:13,,18:44:47,,,18:46:00,18:42:43
113713836239004002,,,19:32:43,,19:31:21,,19:24:00,19:28:44,19:20:00,,,19:21:00,19:30:11,19:22:03,19:34:15,19:35:30,,19:38:51,,,19:40:00,19:36:54
113713837239004002,10:26:14,10:27:16,,10:28:38,,10:35:00,,,,10:29:33,10:37:56,,,,,,10:24:24,,10:30:38,10:39:00,10:24:00,
113713838239004002,11:21:14,11:22:16,,11:23:38,,11:30:00,,,,11:24:33,11:32:56,,,,,,11:19:24,,11:25:38,11:34:00,11:19:00,
113713839239004002,12:16:14,12:17:16,,12:18:38,,12:25:00,,,,12:19:33,12:27:56,,,,,,12:14:24,,12:20:38,12:29:00,12:14:00,
113713840239004002,13:11:14,13:12:16,,13:13:38,,13:20:00,,,,13:14:33,13:22:56,,,,,,13:09:24,,13:15:38,13:24:00,13:09:00,
113713842239004002,18:57:14,18:58:16,,18:59:38,,19:06:00,,,,19:00:33,19:08:56,,,,,,18:55:24,,19:01:38,19:10:00,18:55:00,
