trip_id,1015,1085,2225,2226,2252,2414,2415,2416,2417,2452,2453,2523,2550,2551,2555,2556,2598,2599,2600,2601,2602,2605,2606,2607,2612,2614,2616B,2617,2618,2619,2620,2621,2622,2623,2624,2625,2631,2632,2732,2939B,2952B,3046,3074,3681,3682,3856,5152,5161,5719,5915
113163818236916001,,18:12:00,,,18:19:47,,,,18:01:00,18:02:15,18:03:38,,18:18:19,18:13:43,,18:14:55,,,,,,,,,,,18:06:00,18:21:00,18:21:54,18:22:44,18:23:39,18:25:01,18:25:48,18:27:11,18:28:04,18:30:00,,18:04:44,,18:07:07,,18:31:36,18:34:00,18:16:00,,,18:08:24,18:08:57,,
113163819236916001,,19:48:00,,,19:55:02,,,,19:38:00,19:39:15,19:40:38,,19:53:51,19:49:43,,19:50:55,,,,,,,,,,,19:43:00,19:56:00,19:56:48,19:57:32,19:58:21,19:59:35,20:00:16,20:01:29,20:02:17,20:04:00,,19:41:44,,19:43:56,,20:05:12,20:07:00,19:52:00,,,19:45:00,19:45:28,,
113163820236916001,,19:24:00,,,19:31:02,,,,19:14:00,19:15:15,19:16:38,,19:29:51,19:25:43,,19:26:55,,,,,,,,,,,19:19:00,19:32:00,19:32:48,19:33:32,19:34:21,19:35:35,19:36:16,19:37:29,19:38:17,19:40:00,,19:17:44,,19:19:56,,19:41:36,19:44:00,19:28:00,,,19:21:00,19:21:28,,
113163821236916001,07:19:00,,,,,07:26:44,07:27:35,07:28:51,07:30:00,,,07:14:45,,,07:16:37,,,,,,,,,,07:25:00,,,,,,,,,,,,07:25:43,,,,07:23:28,,,,07:13:00,,,,07:22:23,07:21:16
113163822236916001,06:38:00,,,,,06:44:44,06:45:35,06:46:51,06:48:00,,,06:34:28,,,06:36:01,,,,,,,,,,06:43:00,,,,,,,,,,,,06:43:43,,,,06:41:43,,,,06:33:00,,,,06:40:49,06:39:53
113163823236916001,,17:46:00,,,17:54:47,,,,17:34:00,17:35:30,17:37:09,,17:53:19,17:48:09,,17:49:39,,,,,,,,,,,17:40:00,17:56:00,17:56:54,17:57:44,17:58:39,18:00:01,18:00:48,18:02:11,18:03:04,18:05:00,,17:38:28,,17:41:07,,18:06:36,18:09:00,17:51:00,,,17:42:24,17:42:57,,
113163824236916001,,17:34:00,,,17:42:47,,,,17:22:00,17:23:30,17:25:09,,17:41:19,17:36:09,,17:37:39,,,,,,,,,,,17:28:00,17:44:00,17:44:54,17:45:44,17:46:39,17:48:01,17:48:48,17:50:11,17:51:04,17:53:00,,17:26:28,,17:29:07,,17:54:36,17:57:00,17:39:00,,,17:30:24,17:30:57,,
113163825236916001,,16:58:00,,,17:06:47,,,,16:46:00,16:47:30,16:49:09,,17:05:19,17:00:09,,17:01:39,,,,,,,,,,,16:52:00,17:08:00,17:08:54,17:09:44,17:10:39,17:12:01,17:12:48,17:14:11,17:15:04,17:17:00,,16:50:28,,16:53:07,,17:18:36,17:21:00,17:03:00,,,16:54:24,16:54:57,,
113163826236916001,,16:34:00,,,16:42:47,,,,16:23:00,16:24:15,16:25:38,,16:41:19,16:36:09,,16:37:39,,,,,,,,,,,16:28:00,16:44:00,16:44:54,16:45:44,16:46:39,16:48:01,16:48:48,16:50:11,16:51:04,16:53:00,,16:26:44,,16:29:07,,16:54:36,16:57:00,16:39:00,,,16:30:24,16:30:57,,
113163827236916001,,16:22:00,,,16:30:47,,,,16:11:00,16:12:15,16:13:38,,16:29:19,16:24:09,,16:25:39,,,,,,,,,,,16:16:00,16:32:00,16:32:54,16:33:44,16:34:39,16:36:01,16:36:48,16:38:11,16:39:04,16:41:00,,16:14:44,,16:17:07,,16:42:36,16:45:00,16:27:00,,,16:18:24,16:18:57,,
113163828236916001,,15:46:00,,,15:54:47,,,,15:35:00,15:36:15,15:37:38,,15:53:19,15:48:09,,15:49:39,,,,,,,,,,,15:40:00,15:56:00,15:56:54,15:57:44,15:58:39,16:00:01,16:00:48,16:02:11,16:03:04,16:05:00,,15:38:44,,15:41:07,,16:06:36,16:09:00,15:51:00,,,15:42:24,15:42:57,,
113163829236916001,,14:05:00,,,14:12:47,,,,13:54:00,13:55:15,13:56:38,,14:11:19,14:06:43,,14:07:55,,,,,,,,,,,13:59:00,14:14:00,14:14:42,14:15:21,14:16:03,14:17:08,14:17:44,14:18:48,14:19:30,14:21:00,,13:57:44,,14:00:07,,14:22:36,14:25:00,14:09:00,,,14:01:24,14:01:57,,
113163830236916001,,15:35:00,,,15:43:47,,,,15:24:00,15:25:15,15:26:38,,15:42:19,15:37:09,,15:38:39,,,,,,,,,,,15:29:00,15:45:00,15:45:54,15:46:44,15:47:39,15:49:01,15:49:48,15:51:11,15:52:04,15:54:00,,15:27:44,,15:30:07,,15:55:36,15:58:00,15:40:00,,,15:31:24,15:31:57,,
113163831236916001,,14:35:00,,,14:42:47,,,,14:24:00,14:25:15,14:26:38,,14:41:19,14:36:43,,14:37:55,,,,,,,,,,,14:29:00,14:44:00,14:44:42,14:45:21,14:46:03,14:47:08,14:47:44,14:48:48,14:49:30,14:51:00,,14:27:44,,14:30:07,,14:52:36,14:55:00,14:39:00,,,14:31:24,14:31:57,,
113163832236916001,,15:05:00,,,15:13:47,,,,14:54:00,14:55:15,14:56:38,,15:12:19,15:07:09,,15:08:39,,,,,,,,,,,14:59:00,15:15:00,15:15:48,15:16:32,15:17:21,15:18:35,15:19:16,15:20:29,15:21:17,15:23:00,,14:57:44,,15:00:07,,15:24:36,15:27:00,15:10:00,,,15:01:24,15:01:57,,
113163833236916001,,14:20:00,,,14:27:47,,,,14:09:00,14:10:15,14:11:38,,14:26:19,14:21:43,,14:22:55,,,,,,,,,,,14:14:00,14:29:00,14:29:42,14:30:21,14:31:03,14:32:08,14:32:44,14:33:48,14:34:30,14:36:00,,14:12:44,,14:15:07,,14:37:36,14:40:00,14:24:00,,,14:16:24,14:16:57,,
113163834236916001,,14:50:00,,,14:57:47,,,,14:39:00,14:40:15,14:41:38,,14:56:19,14:51:43,,14:52:55,,,,,,,,,,,14:44:00,14:59:00,14:59:42,15:00:21,15:01:03,15:02:08,15:02:44,15:03:48,15:04:30,15:06:00,,14:42:44,,14:45:07,,15:07:36,15:10:00,14:54:00,,,14:46:24,14:46:57,,
113163835236916001,,15:20:00,,,15:28:47,,,,15:09:00,15:10:15,15:11:38,,15:27:19,15:22:09,,15:23:39,,,,,,,,,,,15:14:00,15:30:00,15:30:54,15:31:44,15:32:39,15:34:01,15:34:48,15:36:11,15:37:04,15:39:00,,15:12:44,,15:15:07,,15:40:36,15:43:00,15:25:00,,,15:16:24,15:16:57,,
113163836236916001,,16:10:00,,,16:18:47,,,,15:59:00,16:00:15,16:01:38,,16:17:19,16:12:09,,16:13:39,,,,,,,,,,,16:04:00,16:20:00,16:20:54,16:21:44,16:22:39,16:24:01,16:24:48,16:26:11,16:27:04,16:29:00,,16:02:44,,16:05:07,,16:30:36,16:33:00,16:15:00,,,16:06:24,16:06:57,,
113163837236916001,,17:59:00,,,18:07:47,,,,17:47:00,17:48:30,17:50:09,,18:06:19,18:01:09,,18:02:39,,,,,,,,,,,17:53:00,18:09:00,18:09:54,18:10:44,18:11:39,18:13:01,18:13:48,18:15:11,18:16:04,18:18:00,,17:51:28,,17:54:07,,18:19:36,18:22:00,18:04:00,,,17:55:24,17:55:57,,
113163838236916001,,15:58:00,,,16:06:47,,,,15:47:00,15:48:15,15:49:38,,16:05:19,16:00:09,,16:01:39,,,,,,,,,,,15:52:00,16:08:00,16:08:54,16:09:44,16:10:39,16:12:01,16:12:48,16:14:11,16:15:04,16:17:00,,15:50:44,,15:53:07,,16:18:36,16:21:00,16:03:00,,,15:54:24,15:54:57,,
113163839236916001,,17:22:00,,,17:30:47,,,,17:10:00,17:11:30,17:13:09,,17:29:19,17:24:09,,17:25:39,,,,,,,,,,,17:16:00,17:32:00,17:32:54,17:33:44,17:34:39,17:36:01,17:36:48,17:38:11,17:39:04,17:41:00,,17:14:28,,17:17:07,,17:42:36,17:45:00,17:27:00,,,17:18:24,17:18:57,,
113163840236916001,,17:10:00,,,17:18:47,,,,16:58:00,16:59:30,17:01:09,,17:17:19,17:12:09,,17:13:39,,,,,,,,,,,17:04:00,17:20:00,17:20:54,17:21:44,17:22:39,17:24:01,17:24:48,17:26:11,17:27:04,17:29:00,,17:02:28,,17:05:07,,17:30:36,17:33:00,17:15:00,,,17:06:24,17:06:57,,
113163841236916001,,16:46:00,,,16:54:47,,,,16:34:00,16:35:30,16:37:09,,16:53:19,16:48:09,,16:49:39,,,,,,,,,,,16:40:00,16:56:00,16:56:54,16:57:44,16:58:39,17:00:01,17:00:48,17:02:11,17:03:04,17:05:00,,16:38:28,,16:41:07,,17:06:36,17:09:00,16:51:00,,,16:42:24,16:42:57,,
113163842236916001,,13:50:00,,,13:57:47,,,,13:39:00,13:40:15,13:41:38,,13:56:19,13:51:43,,13:52:55,,,,,,,,,,,13:44:00,13:59:00,13:59:42,14:00:21,14:01:03,14:02:08,14:02:44,14:03:48,14:04:30,14:06:00,,13:42:44,,13:45:07,,14:07:36,14:10:00,13:54:00,,,13:46:24,13:46:57,,
113163843236916001,,13:35:00,,,13:42:47,,,,13:24:00,13:25:15,13:26:38,,13:41:19,13:36:43,,13:37:55,,,,,,,,,,,13:29:00,13:44:00,13:44:42,13:45:21,13:46:03,13:47:08,13:47:44,13:48:48,13:49:30,13:51:00,,13:27:44,,13:30:07,,13:52:36,13:55:00,13:39:00,,,13:31:24,13:31:57,,
113163844236916001,,13:20:00,,,13:27:47,,,,13:09:00,13:10:15,13:11:38,,13:26:19,13:21:43,,13:22:55,,,,,,,,,,,13:14:00,13:29:00,13:29:42,13:30:21,13:31:03,13:32:08,13:32:44,13:33:48,13:34:30,13:36:00,,13:12:44,,13:15:07,,13:37:36,13:40:00,13:24:00,,,13:16:24,13:16:57,,
113163845236916001,,13:05:00,,,13:12:47,,,,12:54:00,12:55:15,12:56:38,,13:11:19,13:06:43,,13:07:55,,,,,,,,,,,12:59:00,13:14:00,13:14:42,13:15:21,13:16:03,13:17:08,13:17:44,13:18:48,13:19:30,13:21:00,,12:57:44,,13:00:07,,13:22:36,13:25:00,13:09:00,,,13:01:24,13:01:57,,
113163846236916001,,12:05:00,,,12:12:47,,,,11:54:00,11:55:15,11:56:38,,12:11:19,12:06:43,,12:07:55,,,,,,,,,,,11:59:00,12:14:00,12:14:42,12:15:21,12:16:03,12:17:08,12:17:44,12:18:48,12:19:30,12:21:00,,11:57:44,,12:00:07,,12:22:36,12:25:00,12:09:00,,,12:01:24,12:01:57,,
113163847236916001,,12:50:00,,,12:57:47,,,,12:39:00,12:40:15,12:41:38,,12:56:19,12:51:43,,12:52:55,,,,,,,,,,,12:44:00,12:59:00,12:59:42,13:00:21,13:01:03,13:02:08,13:02:44,13:03:48,13:04:30,13:06:00,,12:42:44,,12:45:07,,13:07:36,13:10:00,12:54:00,,,12:46:24,12:46:57,,
