trip_id,1016,1024,1051,1052,1082,1083,1089,1090,1349,1356,1827,1837,1838,1839,2305,2308,2315,2316,2317,2325,2326,2327,2352,2358,2359,2360,2370,2376,2868,2870,3001B,3003,3005,3007,3008,3014,3058,3059,3061,3063
113100418236763001,09:10:11,09:12:00,,,,09:14:00,08:52:39,,09:08:20,,08:48:00,08:48:31,,,,,,,,09:03:50,,,,08:49:00,08:49:55,08:51:00,09:06:00,09:00:00,,09:03:00,08:46:00,08:51:27,08:53:08,08:55:06,08:56:00,08:54:02,,,,
113100419236763001,,,08:11:31,08:10:00,08:09:00,,,08:30:17,,08:13:27,,,08:34:30,08:35:00,08:15:00,08:24:00,08:32:00,08:33:05,08:34:00,,08:18:10,08:28:59,08:36:53,,,,,,08:19:00,,08:38:00,,,,,,08:27:00,08:27:50,08:29:46,08:31:33
113100420236763001,,,09:14:31,09:13:00,09:12:00,,,09:31:17,,09:16:27,,,09:35:30,09:36:00,09:18:00,09:25:00,09:33:00,09:34:05,09:35:00,,09:21:10,09:29:59,09:37:53,,,,,,09:22:00,,09:39:00,,,,,,09:28:00,09:28:50,09:30:46,09:32:33
113100421236763001,,,08:56:31,08:55:00,08:54:00,,,09:13:17,,08:58:27,,,09:17:30,09:18:00,09:00:00,09:07:00,09:15:00,09:16:05,09:17:00,,09:03:10,09:11:59,09:19:53,,,,,,09:04:00,,09:21:00,,,,,,09:10:00,09:10:50,09:12:46,09:14:33
113100422236763001,09:02:11,09:04:00,,,,09:06:00,08:43:39,,09:00:20,,08:39:00,08:39:31,,,,,,,,08:55:50,,,,08:40:00,08:40:55,08:42:00,08:58:00,08:51:00,,08:55:00,08:37:00,08:42:27,08:44:08,08:46:06,08:47:00,08:45:02,,,,
113100423236763001,,,08:28:31,08:27:00,08:26:00,,,08:47:17,,08:30:27,,,08:51:30,08:52:00,08:32:00,08:41:00,08:49:00,08:50:05,08:51:00,,08:35:10,08:45:59,08:53:53,,,,,,08:36:00,,08:55:00,,,,,,08:44:00,08:44:50,08:46:46,08:48:33
113100424236763001,,,09:05:31,09:04:00,09:03:00,,,09:22:17,,09:07:27,,,09:26:30,09:27:00,09:09:00,09:16:00,09:24:00,09:25:05,09:26:00,,09:12:10,09:20:59,09:28:53,,,,,,09:13:00,,09:30:00,,,,,,09:19:00,09:19:50,09:21:46,09:23:33
113100425236763001,09:19:11,09:21:00,,,,09:23:00,09:01:39,,09:17:20,,08:57:00,08:57:31,,,,,,,,09:12:50,,,,08:58:00,08:58:55,09:00:00,09:15:00,09:09:00,,09:12:00,08:55:00,09:00:27,09:02:08,09:04:06,09:05:00,09:03:02,,,,
113100426236763001,,,07:46:31,07:45:00,07:44:00,,,08:05:17,,07:48:27,,,08:09:30,08:10:00,07:50:00,07:59:00,08:07:00,08:08:05,08:09:00,,07:53:10,08:03:59,08:11:53,,,,,,07:54:00,,08:13:00,,,,,,08:02:00,08:02:50,08:04:46,08:06:33
113100427236763001,07:31:29,07:33:00,,,,07:35:00,07:14:39,,07:29:56,,07:10:00,07:10:31,,,,,,,,07:25:50,,,,07:11:00,07:11:55,07:13:00,07:28:00,07:22:00,,07:25:00,07:09:00,07:13:27,07:15:08,07:17:06,07:18:00,07:16:02,,,,
