trip_id,1030,1083,1904,2088,2089,2207,2237,2238,2239,2269,2271,2587,2831,2898,5740,5741,5742B,5760,5761,5905,5906,5908,5910,5911B,5913,5958C,5959,5961,5965,5967,5968,6123,6459,6461,9025,9751,9753,9754B,9755,9756,9776,9777,9778,9779,9780
113365063237620601,,,,,,,,,,,,,,05:10:00,,,,05:12:39,,,,,,,,05:14:00,05:15:46,05:17:12,05:14:52,05:18:29,05:19:00,,05:11:00,,,05:26:00,,,,,05:19:47,05:21:00,05:21:51,05:23:00,05:24:46
113365064237620601,22:05:00,,,22:07:42,,,22:09:20,22:10:37,22:11:35,22:03:02,22:06:48,22:03:38,22:02:00,22:13:00,,,,22:16:12,,,,,,,,22:18:00,22:19:46,22:21:12,22:18:52,22:22:29,22:23:00,,22:14:00,,,22:30:00,,,,,22:23:47,22:25:00,22:25:51,22:27:00,22:28:46
113365065237620601,20:05:00,,,20:08:22,,,20:10:25,20:12:01,20:13:13,20:02:22,20:07:14,20:03:11,20:01:00,20:15:00,,,,20:18:12,,,,,,,,20:20:00,20:21:46,20:23:12,20:20:52,20:24:29,20:25:00,,20:16:00,,,20:32:00,,,,,20:25:47,20:27:00,20:27:51,20:29:00,20:30:46
113365066237620601,,07:55:00,07:57:30,,07:52:27,07:53:08,,,,,,,07:59:00,,07:48:00,07:48:57,07:49:53,,07:44:24,07:38:00,07:38:32,07:39:46,07:40:58,07:43:00,07:41:58,,,,,,,07:51:15,,07:47:00,07:54:00,07:33:00,07:34:00,07:35:24,07:36:16,07:37:15,,,,,
113365067237620601,,07:24:00,07:26:30,,07:21:27,07:22:08,,,,,,,07:28:00,,07:17:00,07:17:57,07:18:53,,07:13:24,07:07:00,07:07:32,07:08:46,07:09:58,07:12:00,07:10:58,,,,,,,07:20:15,,07:16:00,07:23:00,07:02:00,07:03:00,07:04:24,07:05:16,07:06:15,,,,,
113365069237620601,,10:27:00,10:29:30,,10:24:12,10:25:00,,,,,,,10:31:00,,10:19:00,10:20:06,10:21:12,,10:15:24,10:09:00,10:09:32,10:10:46,10:11:58,10:14:00,10:12:58,,,,,,,10:22:48,,10:18:00,10:26:00,10:04:00,10:05:00,10:06:24,10:07:16,10:08:15,,,,,
113365070237620601,,13:27:00,13:29:30,,13:23:56,13:24:51,,,,,,,13:31:00,,13:18:00,13:19:15,13:20:31,,13:14:24,13:08:00,13:08:32,13:09:46,13:10:58,13:13:00,13:11:58,,,,,,,13:22:21,,13:17:00,13:26:00,13:03:00,13:04:00,13:05:24,13:06:16,13:07:15,,,,,
113365071237620601,,13:48:00,13:50:30,,13:44:41,13:45:43,,,,,,,13:52:00,,13:38:00,13:39:25,13:40:50,,13:34:24,13:28:00,13:28:32,13:29:46,13:30:58,13:33:00,13:31:58,,,,,,,13:42:53,,13:37:00,13:47:00,13:23:00,13:24:00,13:25:24,13:26:16,13:27:15,,,,,
113365072237620601,,08:26:00,08:28:30,,08:23:27,08:24:08,,,,,,,08:30:00,,08:19:00,08:19:57,08:20:53,,08:15:24,08:09:00,08:09:32,08:10:46,08:11:58,08:14:00,08:12:58,,,,,,,08:22:15,,08:18:00,08:25:00,08:04:00,08:05:00,08:06:24,08:07:16,08:08:15,,,,,
113365073237620601,,11:07:00,11:09:30,,11:04:12,11:05:00,,,,,,,11:11:00,,10:59:00,11:00:06,11:01:12,,10:55:24,10:49:00,10:49:32,10:50:46,10:51:58,10:54:00,10:52:58,,,,,,,11:02:48,,10:58:00,11:06:00,10:44:00,10:45:00,10:46:24,10:47:16,10:48:15,,,,,
113365074237620601,,09:07:00,09:09:30,,09:04:12,09:05:00,,,,,,,09:11:00,,08:59:00,09:00:06,09:01:12,,08:55:24,08:49:00,08:49:32,08:50:46,08:51:58,08:54:00,08:52:58,,,,,,,09:02:48,,08:58:00,09:06:00,08:44:00,08:45:00,08:46:24,08:47:16,08:48:15,,,,,
113365075237620601,,11:26:00,11:28:30,,11:23:12,11:24:00,,,,,,,11:30:00,,11:18:00,11:19:06,11:20:12,,11:14:24,11:08:00,11:08:32,11:09:46,11:10:58,11:13:00,11:11:58,,,,,,,11:21:48,,11:17:00,11:25:00,11:03:00,11:04:00,11:05:24,11:06:16,11:07:15,,,,,
113365076237620601,,12:06:00,12:08:30,,12:03:12,12:04:00,,,,,,,12:10:00,,11:58:00,11:59:06,12:00:12,,11:54:24,11:48:00,11:48:32,11:49:46,11:50:58,11:53:00,11:51:58,,,,,,,12:01:48,,11:57:00,12:05:00,11:43:00,11:44:00,11:45:24,11:46:16,11:47:15,,,,,
