trip_id,1585,1586,1587,1601,1602,1605,1614B,1615,1617,1620B,1627,1629,1631,1638B,1639,1640B,1656B,1657,1659,1660B,1668,1669,1673,2424,2425,2911,2913,9164
113302072237399000,,,,10:58:08,11:05:07,11:02:54,11:00:43,11:01:38,11:04:06,11:06:13,11:07:14,11:09:00,,10:57:00,,,,,,,,,,10:59:00,,,,11:08:13
113302073237399000,,,,,,,,,,,,11:00:00,11:01:30,11:14:00,,,11:02:48,11:04:43,11:08:04,11:08:48,11:03:35,11:06:16,11:12:17,,11:11:00,,,
113302074237399000,,,,11:12:42,11:20:07,11:17:54,11:15:43,11:16:38,11:19:06,11:21:13,11:22:14,11:24:00,,11:11:00,,,,,,,,,,11:14:00,,,,11:23:13
113302075237399000,,,,,,,,,,,,11:15:00,11:16:30,11:29:00,,,11:17:48,11:19:43,11:23:04,11:23:48,11:18:35,11:21:16,11:27:17,,11:26:00,,,
113302076237399000,,,,11:27:42,11:35:07,11:32:54,11:30:43,11:31:38,11:34:06,11:36:13,11:37:14,11:39:00,,11:26:00,,,,,,,,,,11:29:00,,,,11:38:13
113302077237399000,,,,,,,,,,,,11:30:00,11:31:30,11:44:00,,,11:32:48,11:34:43,11:38:04,11:38:48,11:33:35,11:36:16,11:42:17,,11:41:00,,,
113302078237399000,,,,11:42:42,11:50:07,11:47:54,11:45:43,11:46:38,11:49:06,11:51:13,11:52:14,11:54:00,,11:41:00,,,,,,,,,,11:44:00,,,,11:53:13
113302079237399000,,,,,,,,,,,,11:45:00,11:46:30,11:59:00,,,11:47:48,11:49:43,11:53:04,11:53:48,11:48:35,11:51:16,11:57:17,,11:56:00,,,
113302080237399000,,,,11:57:42,12:05:07,12:02:54,12:00:43,12:01:38,12:04:06,12:06:13,12:07:14,12:09:00,,11:56:00,,,,,,,,,,11:59:00,,,,12:08:13
113302081237399000,,,,,,,,,,,,12:00:00,12:01:30,12:14:00,,,12:02:48,12:04:43,12:08:04,12:08:48,12:03:35,12:06:16,12:12:17,,12:11:00,,,
113302082237399000,,,,12:11:42,12:19:44,12:17:17,12:14:54,12:15:54,12:18:37,12:20:57,12:22:04,12:24:00,,12:10:00,,,,,,,,,,12:13:00,,,,12:23:09
113302083237399000,,,,,,,,,,,,12:15:00,12:16:30,12:29:00,,,12:17:48,12:19:43,12:23:04,12:23:48,12:18:35,12:21:16,12:27:17,,12:26:00,,,
113302084237399000,,,,12:26:42,12:34:44,12:32:17,12:29:54,12:30:54,12:33:37,12:35:57,12:37:04,12:39:00,,12:25:00,,,,,,,,,,12:28:00,,,,12:38:09
113302085237399000,,,,,,,,,,,,12:30:00,12:31:30,12:44:00,,,12:32:48,12:34:43,12:38:04,12:38:48,12:33:35,12:36:16,12:42:17,,12:41:00,,,
113302086237399000,,,,12:41:42,12:49:44,12:47:17,12:44:54,12:45:54,12:48:37,12:50:57,12:52:04,12:54:00,,12:40:00,,,,,,,,,,12:43:00,,,,12:53:09
113302087237399000,,,,,,,,,,,,12:45:00,12:46:30,12:59:00,,,12:47:48,12:49:43,12:53:04,12:53:48,12:48:35,12:51:16,12:57:17,,12:56:00,,,
113302088237399000,,,,12:56:42,13:04:44,13:02:17,12:59:54,13:00:54,13:03:37,13:05:57,13:07:04,13:09:00,,12:55:00,,,,,,,,,,12:58:00,,,,13:08:09
113302089237399000,,,,,,,,,,,,13:00:00,13:01:30,13:14:00,,,13:02:48,13:04:43,13:08:04,13:08:48,13:03:35,13:06:16,13:12:17,,13:11:00,,,
113302090237399000,,,,13:11:42,13:19:44,13:17:17,13:14:54,13:15:54,13:18:37,13:20:57,13:22:04,13:24:00,,13:10:00,,,,,,,,,,13:13:00,,,,13:23:09
113302091237399000,,,,,,,,,,,,13:15:00,13:16:30,13:29:00,,,13:17:48,13:19:43,13:23:04,13:23:48,13:18:35,13:21:16,13:27:17,,13:26:00,,,
113302092237399000,,,,13:25:42,13:33:44,13:31:17,13:28:54,13:29:54,13:32:37,13:34:57,13:36:04,13:38:00,,13:24:00,,,,,,,,,,13:27:00,,,,13:37:09
113302093237399000,,,,,,,,,,,,13:30:00,13:31:30,13:44:00,,,13:32:48,13:34:43,13:38:04,13:38:48,13:33:35,13:36:16,13:42:17,,13:41:00,,,
113302094237399000,,,,13:40:42,13:48:44,13:46:17,13:43:54,13:44:54,13:47:37,13:49:57,13:51:04,13:53:00,,13:39:00,,,,,,,,,,13:42:00,,,,13:52:09
113302095237399000,,,,,,,,,,,,13:44:00,13:45:30,13:58:00,,,13:46:48,13:48:43,13:52:04,13:52:48,13:47:35,13:50:16,13:56:17,,13:55:00,,,
113302096237399000,,,,13:55:42,14:03:44,14:01:17,13:58:54,13:59:54,14:02:37,14:04:57,14:06:04,14:08:00,,13:54:00,,,,,,,,,,13:57:00,,,,14:07:09
113302097237399000,,,,,,,,,,,,13:59:00,14:00:30,14:13:00,,,14:01:48,14:03:43,14:07:04,14:07:48,14:02:35,14:05:16,14:11:17,,14:10:00,,,
113302099237399000,,,,14:11:42,14:19:44,14:17:17,14:14:54,14:15:54,14:18:37,14:20:57,14:22:04,14:24:00,,14:10:00,,,,,,,,,,14:13:00,,,,14:23:09
113302100237399000,,,,,,,,,,,,14:14:00,14:15:30,14:28:00,,,14:16:48,14:18:43,14:22:04,14:22:48,14:17:35,14:20:16,14:26:17,,14:25:00,,,
113302101237399000,,,,14:26:42,14:34:44,14:32:17,14:29:54,14:30:54,14:33:37,14:35:57,14:37:04,14:39:00,,14:25:00,,,,,,,,,,14:28:00,,,,14:38:09
113302102237399000,,,,,,,,,,,,14:30:00,14:31:30,14:44:00,,,14:32:48,14:34:43,14:38:04,14:38:48,14:33:35,14:36:16,14:42:17,,14:41:00,,,
113302105237399000,,,,14:42:42,14:50:44,14:48:17,14:45:54,14:46:54,14:49:37,14:51:57,14:53:04,14:55:00,,14:41:00,,,,,,,,,,14:44:00,,,,14:54:09
113302106237399000,,,,14:57:42,15:05:44,15:03:17,15:00:54,15:01:54,15:04:37,15:06:57,15:08:04,15:10:00,,14:56:00,,,,,,,,,,14:59:00,,,,15:09:09
113302107237399000,,,,,,,,,,,,14:45:00,14:46:30,14:59:00,,,14:47:48,14:49:43,14:53:04,14:53:48,14:48:35,14:51:16,14:57:17,,14:56:00,,,
113302108237399000,,,,,,,,,,,,15:01:00,15:02:22,15:14:00,,,15:03:33,15:05:18,15:08:20,15:09:00,15:04:15,15:06:42,15:12:17,,15:11:00,,,
113302114237399000,,,,15:13:15,15:21:07,15:18:54,15:16:43,15:17:38,15:20:06,15:22:13,15:23:14,15:25:00,,15:11:00,,,,,,,,,,15:15:00,,,,15:24:13
113302115237399000,,,,15:28:15,15:36:07,15:33:54,15:31:43,15:32:38,15:35:06,15:37:13,15:38:14,15:40:00,,15:26:00,,,,,,,,,,15:30:00,,,,15:39:13
113302116237399000,,,,,,,,,,,,15:16:00,15:17:22,15:29:00,,,15:18:33,15:20:18,15:23:20,15:24:00,15:19:15,15:21:42,15:27:17,,15:26:00,,,
113302117237399000,,,,,,,,,,,,15:31:00,15:32:22,15:44:00,,,15:33:33,15:35:18,15:38:20,15:39:00,15:34:15,15:36:42,15:42:17,,15:41:00,,,
113302123237399000,,,,15:44:15,15:52:07,15:49:54,15:47:43,15:48:38,15:51:06,15:53:13,15:54:14,15:56:00,,15:42:00,,,,,,,,,,15:46:00,,,,15:55:13
113302124237399000,,,,15:59:15,16:07:07,16:04:54,16:02:43,16:03:38,16:06:06,16:08:13,16:09:14,16:11:00,,15:57:00,,,,,,,,,,16:01:00,,,,16:10:13
113302125237399000,,,,16:12:15,16:20:07,16:17:54,16:15:43,16:16:38,16:19:06,16:21:13,16:22:14,16:24:00,,16:10:00,,,,,,,,,,16:14:00,,,,16:23:13
113302126237399000,,,,16:24:15,16:32:07,16:29:54,16:27:43,16:28:38,16:31:06,16:33:13,16:34:14,16:36:00,,16:22:00,,,,,,,,,,16:26:00,,,,16:35:13
113302127237399000,,,,,,,,,,,,15:47:00,15:48:14,15:59:00,,,15:49:18,15:50:52,15:53:36,15:54:12,15:49:56,15:52:07,15:57:17,,15:56:00,,,
113302128237399000,,,,,,,,,,,,16:02:00,16:03:14,16:14:00,,,16:04:18,16:05:52,16:08:36,16:09:12,16:04:56,16:07:07,16:12:17,,16:11:00,,,
113302129237399000,,,,,,,,,,,,16:17:00,16:18:14,16:29:00,,,16:19:18,16:20:52,16:23:36,16:24:12,16:19:56,16:22:07,16:27:17,,16:26:00,,,
113302130237399000,,,,,,,,,,,,16:29:00,16:30:14,16:41:00,,,16:31:18,16:32:52,16:35:36,16:36:12,16:31:56,16:34:07,16:39:17,,16:38:00,,,
