trip_id,1063,1127,1128,1376B,1707,1781,2177,2212,2392,2578,3221,3320B,3505,3629,3630,3633C,6353,6354B
113275257237250001,,,,,20:17:17,20:15:00,20:09:00,,20:16:00,,20:20:00,20:18:40,,20:10:15,20:13:00,,20:11:02,
113275258237250001,,,,,20:37:17,20:35:00,20:29:00,,20:36:00,,20:40:00,20:38:40,,20:30:15,20:33:00,,20:31:02,
113275259237250001,,,,,19:17:17,19:15:00,19:09:00,,19:16:00,,19:20:00,19:18:40,,19:10:15,19:13:00,,19:11:02,
113275260237250001,,,,,13:37:36,13:35:00,13:27:00,,13:36:00,,13:41:00,13:39:19,,13:28:52,13:33:00,,13:30:03,
113275261237250001,,,,,16:36:36,16:34:00,16:27:00,,16:35:00,,16:40:00,16:38:19,,16:28:33,16:32:00,,16:29:33,
113275262237250001,,,,,11:36:36,11:34:00,11:27:00,,11:35:00,,11:40:00,11:38:19,,11:28:33,11:32:00,,11:29:33,
113275264237250001,09:37:00,09:38:30,09:40:58,09:39:00,,,09:48:00,09:33:00,,09:34:52,,,09:45:00,,,09:30:00,,09:43:00
113275265237250001,,,,,09:37:36,09:35:00,09:27:00,,09:36:00,,09:41:00,09:39:19,,09:28:52,09:33:00,,09:30:03,
113275266237250001,07:57:00,07:59:15,08:01:58,08:00:00,,,08:08:00,07:53:00,,07:54:52,,,08:06:00,,,07:50:00,,08:04:00
113275267237250001,,,,,07:58:17,07:56:00,07:48:00,,07:57:00,,08:01:00,07:59:40,,07:49:52,07:54:00,,07:51:03,
113275269237250001,08:38:00,08:40:15,08:42:58,08:41:00,,,08:50:00,08:33:00,,08:35:19,,,08:47:00,,,08:30:00,,08:45:00
113275270237250001,08:58:00,09:00:15,09:02:58,09:01:00,,,09:10:00,08:53:00,,08:55:19,,,09:07:00,,,08:50:00,,09:05:00
113275271237250001,14:19:00,14:21:15,14:23:28,14:22:00,,,14:30:00,14:14:00,,14:16:19,,,14:27:00,,,14:11:00,,14:25:00
113275272237250001,14:38:00,14:40:15,14:42:28,14:41:00,,,14:49:00,14:33:00,,14:35:19,,,14:46:00,,,14:30:00,,14:44:00
113275273237250001,15:38:00,15:40:15,15:42:58,15:41:00,,,15:50:00,15:33:00,,15:35:19,,,15:47:00,,,15:30:00,,15:45:00
113275274237250001,16:18:00,16:20:15,16:22:58,16:21:00,,,16:31:00,16:13:00,,16:15:19,,,16:27:00,,,16:10:00,,16:25:00
113275275237250001,17:19:00,17:20:30,17:22:58,17:21:00,,,17:31:00,17:14:00,,17:16:19,,,17:27:00,,,17:10:00,,17:25:00
113275276237250001,16:58:00,17:00:15,17:02:58,17:01:00,,,17:11:00,16:53:00,,16:55:19,,,17:07:00,,,16:50:00,,17:05:00
113275277237250001,15:18:00,15:20:15,15:22:58,15:21:00,,,15:30:00,15:13:00,,15:15:19,,,15:27:00,,,15:10:00,,15:25:00
113275278237250001,16:38:00,16:40:15,16:42:58,16:41:00,,,16:51:00,16:33:00,,16:35:19,,,16:47:00,,,16:30:00,,16:45:00
113275279237250001,,,,,14:16:36,14:14:00,14:07:00,,14:15:00,,14:20:00,14:18:19,,14:08:33,14:12:00,,14:09:33,
113275280237250001,,,,,15:56:36,15:54:00,15:47:00,,15:55:00,,16:00:00,15:58:19,,15:48:33,15:52:00,,15:49:33,
113275281237250001,,,,,16:16:36,16:14:00,16:07:00,,16:15:00,,16:20:00,16:18:19,,16:08:33,16:12:00,,16:09:33,
113275282237250001,,,,,17:16:36,17:14:00,17:07:00,,17:15:00,,17:20:00,17:18:19,,17:08:33,17:12:00,,17:09:33,
113275283237250001,,,,,14:56:36,14:54:00,14:47:00,,14:55:00,,15:00:00,14:58:19,,14:48:33,14:52:00,,14:49:33,
113275284237250001,,,,,15:16:36,15:14:00,15:07:00,,15:15:00,,15:20:00,15:18:19,,15:08:33,15:12:00,,15:09:33,
113275285237250001,,,,,16:56:36,16:54:00,16:47:00,,16:55:00,,17:00:00,16:58:19,,16:48:33,16:52:00,,16:49:33,
113275287237250001,15:58:00,16:00:15,16:02:58,16:01:00,,,16:11:00,15:53:00,,15:55:19,,,16:07:00,,,15:50:00,,16:05:00
113275290237250001,09:17:00,09:18:30,09:20:58,09:19:00,,,09:28:00,09:13:00,,09:14:52,,,09:25:00,,,09:10:00,,09:23:00
113275292237250001,,,,,07:38:17,07:36:00,07:29:00,,07:37:00,,07:41:00,07:39:40,,07:30:33,07:34:00,,07:31:33,
113275293237250001,11:17:00,11:18:30,11:20:28,11:19:00,,,11:27:00,11:13:00,,11:14:52,,,11:24:00,,,11:10:00,,11:22:00
113275294237250001,11:37:00,11:38:30,11:40:28,11:39:00,,,11:47:00,11:33:00,,11:34:52,,,11:44:00,,,11:30:00,,11:42:00
113275295237250001,12:17:00,12:18:30,12:20:58,12:19:00,,,12:28:00,12:13:00,,12:14:52,,,12:25:00,,,12:10:00,,12:23:00
113275296237250001,13:17:00,13:19:15,13:21:58,13:20:00,,,13:29:00,13:13:00,,13:14:52,,,13:26:00,,,13:10:00,,13:24:00
113275297237250001,13:37:00,13:39:15,13:41:58,13:40:00,,,13:49:00,13:33:00,,13:34:52,,,13:46:00,,,13:30:00,,13:44:00
113275298237250001,12:37:00,12:39:15,12:41:58,12:40:00,,,12:49:00,12:33:00,,12:34:52,,,12:46:00,,,12:30:00,,12:44:00
113275299237250001,10:37:00,10:38:30,10:40:28,10:39:00,,,10:47:00,10:33:00,,10:34:52,,,10:44:00,,,10:30:00,,10:42:00
113275300237250001,,,,,10:56:36,10:54:00,10:47:00,,10:55:00,,11:00:00,10:58:19,,10:48:33,10:52:00,,10:49:33,
113275301237250001,,,,,11:16:36,11:14:00,11:07:00,,11:15:00,,11:20:00,11:18:19,,11:08:33,11:12:00,,11:09:33,
113275302237250001,,,,,11:56:36,11:54:00,11:47:00,,11:55:00,,12:00:00,11:58:19,,11:48:33,11:52:00,,11:49:33,
113275303237250001,,,,,12:17:36,12:15:00,12:07:00,,12:16:00,,12:21:00,12:19:19,,12:08:52,12:13:00,,12:10:03,
113275304237250001,,,,,12:57:36,12:55:00,12:47:00,,12:56:00,,13:01:00,12:59:19,,12:48:52,12:53:00,,12:50:03,
113275305237250001,,,,,13:17:36,13:15:00,13:07:00,,13:16:00,,13:21:00,13:19:19,,13:08:52,13:13:00,,13:10:03,
113275306237250001,,,,,13:57:36,13:55:00,13:47:00,,13:56:00,,14:01:00,13:59:19,,13:48:52,13:53:00,,13:50:03,
113275311237250001,,,,,10:16:36,10:14:00,10:07:00,,10:15:00,,10:20:00,10:18:19,,10:08:33,10:12:00,,10:09:33,
113275312237250001,07:37:00,07:38:30,07:40:58,07:39:00,,,07:47:00,07:33:00,,07:34:52,,,07:45:00,,,07:30:00,,07:43:00
113275313237250001,,,,,08:57:36,08:55:00,08:47:00,,08:56:00,,09:01:00,08:59:19,,08:48:52,08:53:00,,08:50:03,
113275314237250001,,,,,08:37:36,08:35:00,08:27:00,,08:36:00,,08:41:00,08:39:19,,08:28:52,08:33:00,,08:30:03,
113275315237250001,,,,,08:17:36,08:15:00,08:07:00,,08:16:00,,08:21:00,08:19:19,,08:08:52,08:13:00,,08:10:03,
113275316237250001,09:57:00,09:58:30,10:00:58,09:59:00,,,10:08:00,09:53:00,,09:54:52,,,10:05:00,,,09:50:00,,10:03:00
113275317237250001,10:17:00,10:18:30,10:20:28,10:19:00,,,10:27:00,10:13:00,,10:14:52,,,10:24:00,,,10:10:00,,10:22:00
113275318237250001,10:57:00,10:58:30,11:00:28,10:59:00,,,11:07:00,10:53:00,,10:54:52,,,11:04:00,,,10:50:00,,11:02:00
113275319237250001,11:57:00,11:58:30,12:00:28,11:59:00,,,12:07:00,11:53:00,,11:54:52,,,12:04:00,,,11:50:00,,12:02:00
113275320237250001,12:57:00,12:59:15,13:01:58,13:00:00,,,13:09:00,12:53:00,,12:54:52,,,13:06:00,,,12:50:00,,13:04:00
113275321237250001,13:57:00,13:59:15,14:01:28,14:00:00,,,14:08:00,13:53:00,,13:54:52,,,14:05:00,,,13:50:00,,14:03:00
113275432237252601,,,,,09:55:17,09:53:00,09:48:00,,09:54:00,,09:58:00,09:56:40,,09:48:56,09:51:00,,09:49:32,
113275433237252601,,,,,10:35:17,10:33:00,10:28:00,,10:34:00,,10:38:00,10:36:40,,10:28:56,10:31:00,,10:29:32,
113275435237252601,,,,,09:35:17,09:33:00,09:28:00,,09:34:00,,09:38:00,09:36:40,,09:28:56,09:31:00,,09:29:32,
113275436237252601,,,,,23:19:17,23:17:00,23:12:00,,23:18:00,,23:22:00,23:20:40,,23:12:56,23:15:00,,23:13:32,
113275437237252601,22:15:00,22:16:30,22:17:59,22:17:00,,,22:23:00,22:12:00,,22:13:24,,,22:21:00,,,22:10:00,,22:19:00
113275438237252601,22:55:00,22:56:30,22:57:59,22:57:00,,,23:03:00,22:52:00,,22:53:24,,,23:01:00,,,22:50:00,,22:59:00
113275439237252601,,,,,21:59:17,21:57:00,21:52:00,,21:58:00,,22:02:00,22:00:40,,21:52:56,21:55:00,,21:53:32,
113275440237252601,21:35:00,21:36:30,21:37:59,21:37:00,,,21:43:00,21:32:00,,21:33:24,,,21:41:00,,,21:30:00,,21:39:00
113275441237252601,23:35:00,23:36:30,23:37:59,23:37:00,,,23:43:00,23:32:00,,23:33:24,,,23:41:00,,,23:30:00,,23:39:00
113275442237252601,,,,,22:39:17,22:37:00,22:32:00,,22:38:00,,22:42:00,22:40:40,,22:32:56,22:35:00,,22:33:32,
113275443237252601,,,,,19:56:17,19:54:00,19:49:00,,19:55:00,,19:59:00,19:57:40,,19:49:56,19:52:00,,19:50:32,
113275444237252601,18:16:00,18:17:30,18:18:59,18:18:00,,,18:24:00,18:12:00,,18:13:52,,,18:22:00,,,18:10:00,,18:20:00
113275445237252601,18:36:00,18:37:30,18:38:59,18:38:00,,,18:44:00,18:32:00,,18:33:52,,,18:42:00,,,18:30:00,,18:40:00
113275446237252601,,,,,20:16:17,20:14:00,20:09:00,,20:15:00,,20:19:00,20:17:40,,20:09:56,20:12:00,,20:10:32,
113275447237252601,,,,,18:16:17,18:14:00,18:08:00,,18:15:00,,18:19:00,18:17:40,,18:09:15,18:12:00,,18:10:02,
113275448237252601,,,,,18:37:17,18:35:00,18:29:00,,18:36:00,,18:40:00,18:38:40,,18:30:15,18:33:00,,18:31:02,
113275451237252601,09:55:00,09:56:30,09:57:59,09:57:00,,,10:03:00,09:52:00,,09:53:24,,,10:01:00,,,09:50:00,,09:59:00
113275452237252601,10:35:00,10:36:30,10:37:59,10:37:00,,,10:43:00,10:32:00,,10:33:24,,,10:41:00,,,10:30:00,,10:39:00
113275453237252601,10:15:00,10:16:30,10:17:59,10:17:00,,,10:23:00,10:12:00,,10:13:24,,,10:21:00,,,10:10:00,,10:19:00
113275454237252601,,,,,09:15:17,09:13:00,09:08:00,,09:14:00,,09:18:00,09:16:40,,09:08:56,09:11:00,,09:09:32,
113275455237252601,,,,,11:36:17,11:34:00,11:28:00,,11:35:00,,11:39:00,11:37:40,,11:29:15,11:32:00,,11:30:02,
113275456237252601,,,,,07:56:17,07:54:00,07:49:00,,07:55:00,,07:59:00,07:57:40,,07:49:56,07:52:00,,07:50:32,
113275457237252601,12:56:00,12:58:15,12:59:59,12:59:00,,,13:05:00,12:52:00,,12:53:52,,,13:03:00,,,12:50:00,,13:01:00
113275458237252601,,,,,12:36:17,12:34:00,12:28:00,,12:35:00,,12:39:00,12:37:40,,12:29:15,12:32:00,,12:30:02,
113275459237252601,09:15:00,09:16:30,09:17:59,09:17:00,,,09:23:00,09:12:00,,09:13:24,,,09:21:00,,,09:10:00,,09:19:00
113275460237252601,09:35:00,09:36:30,09:37:59,09:37:00,,,09:43:00,09:32:00,,09:33:24,,,09:41:00,,,09:30:00,,09:39:00
113275461237252601,,,,,10:15:17,10:13:00,10:08:00,,10:14:00,,10:18:00,10:16:40,,10:08:56,10:11:00,,10:09:32,
113275463237252601,10:55:00,10:56:30,10:57:59,10:57:00,,,11:03:00,10:52:00,,10:53:24,,,11:01:00,,,10:50:00,,10:59:00
113275464237252601,20:56:00,20:57:30,20:58:59,20:58:00,,,21:04:00,20:52:00,,20:53:52,,,21:02:00,,,20:50:00,,21:00:00
113275465237252601,22:35:00,22:36:30,22:37:59,22:37:00,,,22:43:00,22:32:00,,22:33:24,,,22:41:00,,,22:30:00,,22:39:00
113275466237252601,20:36:00,20:37:30,20:38:59,20:38:00,,,20:44:00,20:32:00,,20:33:52,,,20:42:00,,,20:30:00,,20:40:00
113275467237252601,21:15:00,21:16:30,21:17:59,21:17:00,,,21:23:00,21:12:00,,21:13:24,,,21:21:00,,,21:10:00,,21:19:00
113275468237252601,,,,,21:19:17,21:17:00,21:12:00,,21:18:00,,21:22:00,21:20:40,,21:12:56,21:15:00,,21:13:32,
113275469237252601,,,,,18:57:17,18:55:00,18:49:00,,18:56:00,,19:00:00,18:58:40,,18:50:15,18:53:00,,18:51:02,
113275470237252601,20:16:00,20:17:30,20:18:59,20:18:00,,,20:24:00,20:12:00,,20:13:52,,,20:22:00,,,20:10:00,,20:20:00
113275471237252601,,,,,19:36:17,19:34:00,19:29:00,,19:35:00,,19:39:00,19:37:40,,19:29:56,19:32:00,,19:30:32,
113275472237252601,21:55:00,21:56:30,21:57:59,21:57:00,,,22:03:00,21:52:00,,21:53:24,,,22:01:00,,,21:50:00,,21:59:00
113275473237252601,23:15:00,23:16:30,23:17:59,23:17:00,,,23:23:00,23:12:00,,23:13:24,,,23:21:00,,,23:10:00,,23:19:00
113275474237252601,19:56:00,19:57:30,19:58:59,19:58:00,,,20:04:00,19:52:00,,19:53:52,,,20:02:00,,,19:50:00,,20:00:00
113275475237252601,,,,,21:39:17,21:37:00,21:32:00,,21:38:00,,21:42:00,21:40:40,,21:32:56,21:35:00,,21:33:32,
113275476237252601,18:56:00,18:57:30,18:58:59,18:58:00,,,19:04:00,18:52:00,,18:53:52,,,19:02:00,,,18:50:00,,19:00:00
113275477237252601,19:36:00,19:37:30,19:38:59,19:38:00,,,19:44:00,19:32:00,,19:33:52,,,19:42:00,,,19:30:00,,19:40:00
113275478237252601,,,,,20:58:17,20:56:00,20:51:00,,20:57:00,,21:01:00,20:59:40,,20:51:56,20:54:00,,20:52:32,
113275479237252601,,,,,19:16:17,19:14:00,19:09:00,,19:15:00,,19:19:00,19:17:40,,19:09:56,19:12:00,,19:10:32,
113275480237252601,,,,,22:19:17,22:17:00,22:12:00,,22:18:00,,22:22:00,22:20:40,,22:12:56,22:15:00,,22:13:32,
113275481237252601,19:16:00,19:17:30,19:18:59,19:18:00,,,19:24:00,19:12:00,,19:13:52,,,19:22:00,,,19:10:00,,19:20:00
113275482237252601,,,,,20:36:17,20:34:00,20:29:00,,20:35:00,,20:39:00,20:37:40,,20:29:56,20:32:00,,20:30:32,
113275483237252601,,,,,22:59:17,22:57:00,22:52:00,,22:58:00,,23:02:00,23:00:40,,22:52:56,22:55:00,,22:53:32,
113275484237252601,,,,,23:39:17,23:37:00,23:32:00,,23:38:00,,23:42:00,23:40:40,,23:32:56,23:35:00,,23:33:32,
113275485237252601,17:56:00,17:57:30,17:59:28,17:58:00,,,18:05:00,17:52:00,,17:53:52,,,18:03:00,,,17:50:00,,18:01:00
113275486237252601,17:18:00,17:19:30,17:21:28,17:20:00,,,17:27:00,17:14:00,,17:15:52,,,17:25:00,,,17:11:00,,17:23:00
113275487237252601,17:36:00,17:37:30,17:39:28,17:38:00,,,17:45:00,17:32:00,,17:33:52,,,17:43:00,,,17:30:00,,17:41:00
113275488237252601,14:17:00,14:19:15,14:20:59,14:20:00,,,14:26:00,14:13:00,,14:14:52,,,14:24:00,,,14:10:00,,14:22:00
113275489237252601,,,,,15:55:17,15:53:00,15:47:00,,15:54:00,,15:58:00,15:56:40,,15:48:15,15:51:00,,15:49:02,
113275490237252601,,,,,15:15:17,15:13:00,15:07:00,,15:14:00,,15:18:00,15:16:40,,15:08:15,15:11:00,,15:09:02,
113275491237252601,14:37:00,14:39:15,14:40:59,14:40:00,,,14:46:00,14:33:00,,14:34:52,,,14:44:00,,,14:30:00,,14:42:00
113275492237252601,,,,,16:15:17,16:13:00,16:07:00,,16:14:00,,16:18:00,16:16:40,,16:08:15,16:11:00,,16:09:02,
113275493237252601,17:00:00,17:01:30,17:03:28,17:02:00,,,17:09:00,16:55:00,,16:57:19,,,17:07:00,,,16:52:00,,17:05:00
113275494237252601,16:18:00,16:20:15,16:21:59,16:21:00,,,16:27:00,16:13:00,,16:15:19,,,16:25:00,,,16:10:00,,16:23:00
113275495237252601,,,,,16:54:17,16:52:00,16:46:00,,16:53:00,,16:57:00,16:55:40,,16:47:15,16:50:00,,16:48:02,
113275496237252601,,,,,14:55:17,14:53:00,14:47:00,,14:54:00,,14:58:00,14:56:40,,14:48:15,14:51:00,,14:49:02,
113275497237252601,15:38:00,15:40:15,15:41:59,15:41:00,,,15:47:00,15:33:00,,15:35:19,,,15:45:00,,,15:30:00,,15:43:00
113275498237252601,,,,,14:15:17,14:13:00,14:07:00,,14:14:00,,14:18:00,14:16:40,,14:08:15,14:11:00,,14:09:02,
113275499237252601,16:39:00,16:41:15,16:42:59,16:42:00,,,16:48:00,16:34:00,,16:36:19,,,16:46:00,,,16:31:00,,16:44:00
113275500237252601,15:18:00,15:20:15,15:21:59,15:21:00,,,15:27:00,15:13:00,,15:15:19,,,15:25:00,,,15:10:00,,15:23:00
113275502237252601,11:55:00,11:56:30,11:57:59,11:57:00,,,12:03:00,11:52:00,,11:53:24,,,12:01:00,,,11:50:00,,11:59:00
113275503237252601,13:17:00,13:19:15,13:20:59,13:20:00,,,13:26:00,13:13:00,,13:14:52,,,13:24:00,,,13:10:00,,13:22:00
113275504237252601,,,,,15:35:17,15:33:00,15:27:00,,15:34:00,,15:38:00,15:36:40,,15:28:15,15:31:00,,15:29:02,
113275505237252601,,,,,16:35:17,16:33:00,16:27:00,,16:34:00,,16:38:00,16:36:40,,16:28:15,16:31:00,,16:29:02,
113275506237252601,13:57:00,13:59:15,14:00:59,14:00:00,,,14:06:00,13:53:00,,13:54:52,,,14:04:00,,,13:50:00,,14:02:00
113275507237252601,,,,,13:35:17,13:33:00,13:27:00,,13:34:00,,13:38:00,13:36:40,,13:28:15,13:31:00,,13:29:02,
113275508237252601,14:57:00,14:59:15,15:00:59,15:00:00,,,15:06:00,14:53:00,,14:54:52,,,15:04:00,,,14:50:00,,15:02:00
113275509237252601,15:58:00,16:00:15,16:01:59,16:01:00,,,16:07:00,15:53:00,,15:55:19,,,16:05:00,,,15:50:00,,16:03:00
113275510237252601,,,,,17:15:17,17:13:00,17:07:00,,17:14:00,,17:18:00,17:16:40,,17:08:15,17:11:00,,17:09:02,
113275511237252601,,,,,17:35:17,17:33:00,17:27:00,,17:34:00,,17:38:00,17:36:40,,17:28:15,17:31:00,,17:29:02,
113275512237252601,,,,,17:55:17,17:53:00,17:47:00,,17:54:00,,17:58:00,17:56:40,,17:48:15,17:51:00,,17:49:02,
113275513237252601,,,,,11:16:17,11:14:00,11:08:00,,11:15:00,,11:19:00,11:17:40,,11:09:15,11:12:00,,11:10:02,
113275514237252601,11:35:00,11:36:30,11:37:59,11:37:00,,,11:43:00,11:32:00,,11:33:24,,,11:41:00,,,11:30:00,,11:39:00
113275515237252601,,,,,12:16:17,12:14:00,12:08:00,,12:15:00,,12:19:00,12:17:40,,12:09:15,12:12:00,,12:10:02,
113275516237252601,11:15:00,11:16:30,11:17:59,11:17:00,,,11:23:00,11:12:00,,11:13:24,,,11:21:00,,,11:10:00,,11:19:00
113275517237252601,12:36:00,12:38:15,12:39:59,12:39:00,,,12:45:00,12:32:00,,12:33:52,,,12:43:00,,,12:30:00,,12:41:00
113275518237252601,,,,,11:56:17,11:54:00,11:48:00,,11:55:00,,11:59:00,11:57:40,,11:49:15,11:52:00,,11:50:02,
113275519237252601,12:16:00,12:18:15,12:19:59,12:19:00,,,12:25:00,12:12:00,,12:13:52,,,12:23:00,,,12:10:00,,12:21:00
113275520237252601,,,,,10:55:17,10:53:00,10:48:00,,10:54:00,,10:58:00,10:56:40,,10:48:56,10:51:00,,10:49:32,
113275521237252601,,,,,12:55:17,12:53:00,12:47:00,,12:54:00,,12:58:00,12:56:40,,12:48:15,12:51:00,,12:49:02,
113275522237252601,,,,,13:55:17,13:53:00,13:47:00,,13:54:00,,13:58:00,13:56:40,,13:48:15,13:51:00,,13:49:02,
113275523237252601,,,,,13:15:17,13:13:00,13:07:00,,13:14:00,,13:18:00,13:16:40,,13:08:15,13:11:00,,13:09:02,
113275524237252601,13:37:00,13:39:15,13:40:59,13:40:00,,,13:46:00,13:33:00,,13:34:52,,,13:44:00,,,13:30:00,,13:42:00
113275532237252601,,,,,08:55:17,08:53:00,08:48:00,,08:54:00,,08:58:00,08:56:40,,08:48:56,08:51:00,,08:49:32,
113275533237252601,07:55:00,07:56:30,07:57:59,07:57:00,,,08:03:00,07:52:00,,07:53:24,,,08:01:00,,,07:50:00,,07:59:00
113275534237252601,08:35:00,08:36:30,08:37:59,08:37:00,,,08:43:00,08:32:00,,08:33:24,,,08:41:00,,,08:30:00,,08:39:00
113275535237252601,,,,,08:15:17,08:13:00,08:08:00,,08:14:00,,08:18:00,08:16:40,,08:08:56,08:11:00,,08:09:32,
113275536237252601,,,,,08:35:17,08:33:00,08:28:00,,08:34:00,,08:38:00,08:36:40,,08:28:56,08:31:00,,08:29:32,
