trip_id,2241G,2242F,2246F,2793F,3308F,3317,3321,3330F,3334F,3334G,3335F,3337F,3338F,3360F,5039,5040,5041F,5042,5274F,5275F,5277F,5278F,5279F,5308F,5354H,5874F,6204,6258
113478852238199501,,17:37:00,,,,,17:47:57,,17:51:00,,,17:50:09,,17:33:00,17:46:00,,,,,,17:44:18,17:42:43,17:41:00,,17:39:00,,17:35:12,
113478853238199501,,16:22:00,,,,,16:32:57,,16:36:00,,,16:35:09,,16:18:00,16:31:00,,,,,,16:29:18,16:27:43,16:26:00,,16:24:00,,16:20:12,
113478854238199501,,17:52:00,,,,,18:02:57,,18:06:00,,,18:05:09,,17:48:00,18:01:00,,,,,,17:59:18,17:57:43,17:56:00,,17:54:00,,17:50:12,
113478855238199501,,18:06:00,,,,,18:16:57,,18:20:00,,,18:19:09,,18:03:00,18:15:00,,,,,,18:13:18,18:11:43,18:10:00,,18:08:00,,18:04:39,
113478856238199501,,18:21:00,,,,,18:31:57,,18:35:00,,,18:34:09,,18:18:00,18:30:00,,,,,,18:28:18,18:26:43,18:25:00,,18:23:00,,18:19:39,
113478857238199501,,19:21:00,,,,,19:31:57,,19:35:00,,,19:34:09,,19:18:00,19:30:00,,,,,,19:28:18,19:26:43,19:25:00,,19:23:00,,19:19:39,
113478929238199501,,,,,,,07:20:33,,07:23:00,,,07:22:19,,,07:19:00,,,,,,,,,,,,,
113478935238199501,,,,,,20:49:17,,,,,20:46:00,,20:46:55,,,,20:51:00,,,,,,,,,,,
113478942238199501,,09:49:00,,,,,09:59:57,,10:03:00,,,10:02:09,,09:46:00,09:58:00,,,,,,09:56:18,09:54:43,09:53:00,,09:51:00,,09:47:39,
113478946238199501,07:30:00,,,,07:33:00,07:21:07,,07:18:52,,,07:18:00,,,,,,,07:23:00,07:26:00,07:24:45,,,,07:28:00,,07:23:58,,07:31:14
113478952238199501,,08:37:00,,,,,08:46:57,,08:50:00,,,08:49:09,,08:34:00,08:45:00,,,,,,08:43:18,08:41:43,08:40:00,,08:38:00,,08:35:39,
113478953238199501,08:30:00,,,,08:33:00,08:21:07,,08:18:52,,,08:18:00,,,,,,,08:23:00,08:26:00,08:24:45,,,,08:28:00,,08:23:58,,08:31:14
113478955238199501,,07:37:00,,,,,07:46:33,,07:49:00,,,07:48:19,,07:34:00,07:45:00,,,,,,07:43:18,07:41:43,07:40:00,,07:38:00,,07:35:39,
113478956238199501,09:42:00,,,,09:45:00,09:33:07,,09:30:52,,,09:30:00,,,,,,,09:35:00,09:38:00,09:36:45,,,,09:40:00,,09:35:58,,09:43:14
113478957238199501,10:58:00,,,,11:02:00,10:48:07,,10:45:52,,,10:45:00,,,,,,,10:50:00,10:54:00,10:52:19,,,,10:56:00,,10:51:18,,10:59:39
