trip_id,1063,1128,1376B,1453,1455,1726,1906,1909,1981,1983,2177,2212,2301,2303,2578,2595,2681,2682,3514,3558,3567,3620B,3623B,4303,4304,4305,4306,4307,4308,4309,4310,4311,4313,4347,4348,4349,4351,4355,4357,4358,4359,4360,4362,4363,4364,4365,4366,4952,6353,6443
113359091237604501,,,,,24:29:49,,,,24:43:00,24:44:59,24:49:00,,,,,,,24:46:39,24:36:04,,24:53:04,,24:46:00,,,,,,,,,,,,24:28:08,,24:27:00,24:29:09,24:30:37,24:32:00,24:33:33,24:34:35,24:36:45,24:38:23,24:39:23,24:40:41,24:41:24,,24:50:56,24:56:00
113359093237604501,,,,,24:49:49,,,,25:03:00,25:04:59,25:09:00,,,,,,,25:06:39,24:56:04,,25:13:04,,25:06:00,,,,,,,,,,,,24:48:08,,24:47:00,24:49:09,24:50:37,24:52:00,24:53:33,24:54:35,24:56:45,24:58:23,24:59:23,25:00:41,25:01:24,,25:10:56,25:16:00
113359094237604501,,,,,26:29:49,,,,26:43:00,26:44:59,26:49:00,,,,,,,26:46:39,26:36:04,,26:53:04,,26:46:00,,,,,,,,,,,,26:28:08,,26:27:00,26:29:09,26:30:37,26:32:00,26:33:33,26:34:35,26:36:45,26:38:23,26:39:23,26:40:41,26:41:24,,26:50:56,26:56:00
113422585238072001,24:47:42,24:50:16,24:49:22,25:14:28,,24:53:00,24:58:41,25:00:00,,,,24:44:00,24:41:17,24:43:00,24:46:00,24:42:00,24:55:43,,,25:08:00,,24:57:00,,25:01:27,25:02:43,25:04:13,25:05:25,25:07:06,25:09:41,25:10:35,25:12:00,25:13:29,25:15:00,25:15:56,,25:17:00,,,,,,,,,,,,24:55:00,,24:40:00
113422589238072001,25:07:42,25:10:16,25:09:22,25:34:28,,25:13:00,25:18:41,25:20:00,,,,25:04:00,25:01:17,25:03:00,25:06:00,25:02:00,25:15:43,,,25:28:00,,25:17:00,,25:21:27,25:22:43,25:24:13,25:25:25,25:27:06,25:29:41,25:30:35,25:32:00,25:33:29,25:35:00,25:35:56,,25:37:00,,,,,,,,,,,,25:15:00,,25:00:00
113422596238072001,,,,,25:29:49,,,,25:43:00,25:44:59,25:49:00,,,,,,,25:46:39,25:36:04,,25:53:04,,25:46:00,,,,,,,,,,,,25:28:08,,25:27:00,25:29:09,25:30:37,25:32:00,25:33:33,25:34:35,25:36:45,25:38:23,25:39:23,25:40:41,25:41:24,,25:50:56,25:56:00
113422597238072001,,,,,24:09:49,,,,24:23:00,24:24:59,24:29:00,,,,,,,24:26:39,24:16:04,,24:33:04,,24:26:00,,,,,,,,,,,,24:08:08,,24:07:00,24:09:09,24:10:37,24:12:00,24:13:33,24:14:35,24:16:45,24:18:23,24:19:23,24:20:41,24:21:24,,24:30:56,24:36:00
113422598238072001,26:07:42,26:10:16,26:09:22,26:34:28,,26:13:00,26:18:41,26:20:00,,,,26:04:00,26:01:17,26:03:00,26:06:00,26:02:00,26:15:43,,,26:28:00,,26:17:00,,26:21:27,26:22:43,26:24:13,26:25:25,26:27:06,26:29:41,26:30:35,26:32:00,26:33:29,26:35:00,26:35:56,,26:37:00,,,,,,,,,,,,26:15:00,,26:00:00
113422599238072001,,,,,25:49:49,,,,26:03:00,26:04:59,26:09:00,,,,,,,26:06:39,25:56:04,,26:13:04,,26:06:00,,,,,,,,,,,,25:48:08,,25:47:00,25:49:09,25:50:37,25:52:00,25:53:33,25:54:35,25:56:45,25:58:23,25:59:23,26:00:41,26:01:24,,26:10:56,26:16:00
113422600238072001,25:47:42,25:50:16,25:49:22,26:14:28,,25:53:00,25:58:41,26:00:00,,,,25:44:00,25:41:17,25:43:00,25:46:00,25:42:00,25:55:43,,,26:08:00,,25:57:00,,26:01:27,26:02:43,26:04:13,26:05:25,26:07:06,26:09:41,26:10:35,26:12:00,26:13:29,26:15:00,26:15:56,,26:17:00,,,,,,,,,,,,25:55:00,,25:40:00
