trip_id,1043,1320,1321,1339,1402B,1403,1404,1419,1462,1463,1464,1474B,1531,1533,1551,2022,2028,2037,2038,2039,2041,2042,2043,2083,3463,3902,3903,3904,3905,3911,3920,3956,3957,3958,3959,3962,6055,6448,6450,9853
113279686237278601,13:06:41,,13:02:50,13:10:00,12:49:19,12:52:00,12:53:11,12:51:12,,,,12:47:00,,,13:04:41,13:06:00,,13:08:04,13:08:33,13:09:16,,,,12:48:00,13:02:00,,,,,,,12:56:47,12:58:00,12:58:54,12:59:43,13:00:55,,12:55:00,,
113279687237278601,13:26:41,,13:22:50,13:30:00,13:09:19,13:12:00,13:13:11,13:11:12,,,,13:07:00,,,13:24:41,13:26:00,,13:28:04,13:28:33,13:29:16,,,,13:08:00,13:22:00,,,,,,,13:16:47,13:18:00,13:18:54,13:19:43,13:20:55,,13:15:00,,
113279688237278601,13:45:41,,13:41:50,13:49:00,13:28:19,13:31:00,13:32:11,13:30:12,,,,13:26:00,,,13:43:41,13:45:00,,13:47:04,13:47:33,13:48:16,,,,13:27:00,13:41:00,,,,,,,13:35:47,13:37:00,13:37:54,13:38:43,13:39:55,,13:34:00,,
113279689237278601,14:05:41,,14:01:50,14:09:00,13:48:19,13:51:00,13:52:11,13:50:12,,,,13:46:00,,,14:03:41,14:05:00,,14:07:04,14:07:33,14:08:16,,,,13:47:00,14:01:00,,,,,,,13:55:47,13:57:00,13:57:54,13:58:43,13:59:55,,13:54:00,,
113279690237278601,14:25:41,,14:21:50,14:29:00,14:08:19,14:11:00,14:12:11,14:10:12,,,,14:06:00,,,14:23:41,14:25:00,,14:27:04,14:27:33,14:28:16,,,,14:07:00,14:21:00,,,,,,,14:15:47,14:17:00,14:17:54,14:18:43,14:19:55,,14:14:00,,
113279691237278601,14:45:41,,14:41:50,14:49:00,14:28:19,14:31:00,14:32:11,14:30:12,,,,14:26:00,,,14:43:41,14:45:00,,14:47:04,14:47:33,14:48:16,,,,14:27:00,14:41:00,,,,,,,14:35:47,14:37:00,14:37:54,14:38:43,14:39:55,,14:34:00,,
113279692237278601,15:05:41,,15:01:50,15:09:00,14:48:19,14:51:00,14:52:11,14:50:12,,,,14:46:00,,,15:03:41,15:05:00,,15:07:04,15:07:33,15:08:16,,,,14:47:00,15:01:00,,,,,,,14:55:47,14:57:00,14:57:54,14:58:43,14:59:55,,14:54:00,,
113279693237278601,15:25:41,,15:21:50,15:29:00,15:08:19,15:11:00,15:12:11,15:10:12,,,,15:06:00,,,15:23:41,15:25:00,,15:27:04,15:27:33,15:28:16,,,,15:07:00,15:21:00,,,,,,,15:15:47,15:17:00,15:17:54,15:18:43,15:19:55,,15:14:00,,
113279694237278601,15:45:41,,15:41:50,15:49:00,15:28:19,15:31:00,15:32:11,15:30:12,,,,15:26:00,,,15:43:41,15:45:00,,15:47:04,15:47:33,15:48:16,,,,15:27:00,15:41:00,,,,,,,15:35:47,15:37:00,15:37:54,15:38:43,15:39:55,,15:34:00,,
113279695237278601,16:05:41,,16:01:50,16:09:00,15:48:19,15:51:00,15:52:11,15:50:12,,,,15:46:00,,,16:03:41,16:05:00,,16:07:04,16:07:33,16:08:16,,,,15:47:00,16:01:00,,,,,,,15:55:47,15:57:00,15:57:54,15:58:43,15:59:55,,15:54:00,,
113279696237278601,16:25:41,,16:21:50,16:29:00,16:08:19,16:11:00,16:12:11,16:10:12,,,,16:06:00,,,16:23:41,16:25:00,,16:27:04,16:27:33,16:28:16,,,,16:07:00,16:21:00,,,,,,,16:15:47,16:17:00,16:17:54,16:18:43,16:19:55,,16:14:00,,
113279697237278601,16:45:41,,16:41:50,16:49:00,16:28:19,16:31:00,16:32:11,16:30:12,,,,16:26:00,,,16:43:41,16:45:00,,16:47:04,16:47:33,16:48:16,,,,16:27:00,16:41:00,,,,,,,16:35:47,16:37:00,16:37:54,16:38:43,16:39:55,,16:34:00,,
113279698237278601,17:05:41,,17:01:50,17:09:00,16:48:19,16:51:00,16:52:11,16:50:12,,,,16:46:00,,,17:03:41,17:05:00,,17:07:04,17:07:33,17:08:16,,,,16:47:00,17:01:00,,,,,,,16:55:47,16:57:00,16:57:54,16:58:43,16:59:55,,16:54:00,,
113279699237278601,17:25:41,,17:21:50,17:29:00,17:08:19,17:11:00,17:12:11,17:10:12,,,,17:06:00,,,17:23:41,17:25:00,,17:27:04,17:27:33,17:28:16,,,,17:07:00,17:21:00,,,,,,,17:15:47,17:17:00,17:17:54,17:18:43,17:19:55,,17:14:00,,
113279700237278601,17:45:41,,17:41:50,17:49:00,17:28:19,17:31:00,17:32:11,17:30:12,,,,17:26:00,,,17:43:41,17:45:00,,17:47:04,17:47:33,17:48:16,,,,17:27:00,17:41:00,,,,,,,17:35:47,17:37:00,17:37:54,17:38:43,17:39:55,,17:34:00,,
113279701237278601,18:05:41,,18:01:50,18:09:00,17:48:19,17:51:00,17:52:11,17:50:12,,,,17:46:00,,,18:03:41,18:05:00,,18:07:04,18:07:33,18:08:16,,,,17:47:00,18:01:00,,,,,,,17:55:47,17:57:00,17:57:54,17:58:43,17:59:55,,17:54:00,,
113279702237278601,18:25:41,,18:21:50,18:29:00,18:08:19,18:11:00,18:12:11,18:10:12,,,,18:06:00,,,18:23:41,18:25:00,,18:27:04,18:27:33,18:28:16,,,,18:07:00,18:21:00,,,,,,,18:15:47,18:17:00,18:17:54,18:18:43,18:19:55,,18:14:00,,
113279703237278601,18:45:41,,18:41:50,18:49:00,18:28:19,18:31:00,18:32:11,18:30:12,,,,18:26:00,,,18:43:41,18:45:00,,18:47:04,18:47:33,18:48:16,,,,18:27:00,18:41:00,,,,,,,18:35:47,18:37:00,18:37:54,18:38:43,18:39:55,,18:34:00,,
113279704237278601,19:05:41,,19:01:50,19:09:00,18:48:19,18:51:00,18:52:11,18:50:12,,,,18:46:00,,,19:03:41,19:05:00,,19:07:04,19:07:33,19:08:16,,,,18:47:00,19:01:00,,,,,,,18:55:47,18:57:00,18:57:54,18:58:43,18:59:55,,18:54:00,,
113279705237278601,19:25:41,,19:21:50,19:29:00,19:08:19,19:11:00,19:12:11,19:10:12,,,,19:06:00,,,19:23:41,19:25:00,,19:27:04,19:27:33,19:28:16,,,,19:07:00,19:21:00,,,,,,,19:15:47,19:17:00,19:17:54,19:18:43,19:19:55,,19:14:00,,
113279706237278601,19:45:41,,19:41:50,19:49:00,19:28:19,19:31:00,19:32:11,19:30:12,,,,19:26:00,,,19:43:41,19:45:00,,19:47:04,19:47:33,19:48:16,,,,19:27:00,19:41:00,,,,,,,19:35:47,19:37:00,19:37:54,19:38:43,19:39:55,,19:34:00,,
113279707237278601,20:05:41,,20:01:50,20:09:00,19:48:19,19:51:00,19:52:11,19:50:12,,,,19:46:00,,,20:03:41,20:05:00,,20:07:04,20:07:33,20:08:16,,,,19:47:00,20:01:00,,,,,,,19:55:47,19:57:00,19:57:54,19:58:43,19:59:55,,19:54:00,,
113279708237278601,20:24:41,,20:20:50,20:28:00,20:07:59,20:10:00,20:11:11,20:09:24,,,,20:06:00,,,20:22:41,20:24:00,,20:26:04,20:26:33,20:27:16,,,,20:07:00,20:20:00,,,,,,,20:14:47,20:16:00,20:16:54,20:17:43,20:18:55,,20:13:00,,
113279709237278601,20:44:41,,20:40:50,20:48:00,20:27:59,20:30:00,20:31:11,20:29:24,,,,20:26:00,,,20:42:41,20:44:00,,20:46:04,20:46:33,20:47:16,,,,20:27:00,20:40:00,,,,,,,20:34:47,20:36:00,20:36:54,20:37:43,20:38:55,,20:33:00,,
113279710237278601,21:04:41,,21:00:50,21:08:00,20:47:59,20:50:00,20:51:11,20:49:24,,,,20:46:00,,,21:02:41,21:04:00,,21:06:04,21:06:33,21:07:16,,,,20:47:00,21:00:00,,,,,,,20:54:47,20:56:00,20:56:54,20:57:43,20:58:55,,20:53:00,,
113279711237278601,21:24:41,,21:20:50,21:28:00,21:07:59,21:10:00,21:11:11,21:09:24,,,,21:06:00,,,21:22:41,21:24:00,,21:26:04,21:26:33,21:27:16,,,,21:07:00,21:20:00,,,,,,,21:14:47,21:16:00,21:16:54,21:17:43,21:18:55,,21:13:00,,
113279712237278601,21:44:41,,21:40:50,21:48:00,21:27:59,21:30:00,21:31:11,21:29:24,,,,21:26:00,,,21:42:41,21:44:00,,21:46:04,21:46:33,21:47:16,,,,21:27:00,21:40:00,,,,,,,21:34:47,21:36:00,21:36:54,21:37:43,21:38:55,,21:33:00,,
113279713237278601,22:04:41,,22:00:50,22:08:00,21:47:59,21:50:00,21:51:11,21:49:24,,,,21:46:00,,,22:02:41,22:04:00,,22:06:04,22:06:33,22:07:16,,,,21:47:00,22:00:00,,,,,,,21:54:47,21:56:00,21:56:54,21:57:43,21:58:55,,21:53:00,,
113279714237278601,22:24:41,,22:20:50,22:28:00,22:07:59,22:10:00,22:11:11,22:09:24,,,,22:06:00,,,22:22:41,22:24:00,,22:26:04,22:26:33,22:27:16,,,,22:07:00,22:20:00,,,,,,,22:14:47,22:16:00,22:16:54,22:17:43,22:18:55,,22:13:00,,
113279715237278601,22:44:41,,22:40:50,22:48:00,22:27:59,22:30:00,22:31:11,22:29:24,,,,22:26:00,,,22:42:41,22:44:00,,22:46:04,22:46:33,22:47:16,,,,22:27:00,22:40:00,,,,,,,22:34:47,22:36:00,22:36:54,22:37:43,22:38:55,,22:33:00,,
113279716237278601,23:04:41,,23:00:50,23:08:00,22:47:59,22:50:00,22:51:11,22:49:24,,,,22:46:00,,,23:02:41,23:04:00,,23:06:04,23:06:33,23:07:16,,,,22:47:00,23:00:00,,,,,,,22:54:47,22:56:00,22:56:54,22:57:43,22:58:55,,22:53:00,,
113279717237278601,23:23:41,,23:19:50,23:27:00,23:07:59,23:10:00,23:10:48,23:09:24,,,,23:06:00,,,23:21:41,23:23:00,,23:25:04,23:25:33,23:26:16,,,,23:07:00,23:19:00,,,,,,,23:13:47,23:15:00,23:15:54,23:16:43,23:17:55,,23:12:00,,
113279718237278601,23:43:41,,23:39:50,23:47:00,23:27:59,23:30:00,23:30:48,23:29:24,,,,23:26:00,,,23:41:41,23:43:00,,23:45:04,23:45:33,23:46:16,,,,23:27:00,23:39:00,,,,,,,23:33:47,23:35:00,23:35:54,23:36:43,23:37:55,,23:32:00,,
113279719237278601,24:03:41,,23:59:50,24:07:00,23:47:59,23:50:00,23:50:48,23:49:24,,,,23:46:00,,,24:01:41,24:03:00,,24:05:04,24:05:33,24:06:16,,,,23:47:00,23:59:00,,,,,,,23:53:47,23:55:00,23:55:54,23:56:43,23:57:55,,23:52:00,,
113279720237278601,24:23:41,,24:19:50,24:27:00,24:07:59,24:10:00,24:10:48,24:09:24,,,,24:06:00,,,24:21:41,24:23:00,,24:25:04,24:25:33,24:26:16,,,,24:07:00,24:19:00,,,,,,,24:13:47,24:15:00,24:15:54,24:16:43,24:17:55,,24:12:00,,
113279721237278601,24:43:41,,24:39:50,24:47:00,24:27:59,24:30:00,24:30:48,24:29:24,,,,24:26:00,,,24:41:41,24:43:00,,24:45:04,24:45:33,24:46:16,,,,24:27:00,24:39:00,,,,,,,24:33:47,24:35:00,24:35:54,24:36:43,24:37:55,,24:32:00,,
113279722237278601,,23:24:26,,23:17:00,,,,,23:34:11,23:36:38,23:37:54,23:39:00,23:22:57,23:25:00,,,23:22:00,,,,23:18:17,23:19:04,23:19:32,,,23:27:12,23:27:55,23:29:00,23:30:18,23:31:27,23:26:05,,,,,,23:36:00,,23:33:00,23:20:51
113279723237278601,,23:04:26,,22:56:00,,,,,23:14:11,23:16:38,23:17:54,23:19:00,23:02:57,23:05:00,,,23:02:00,,,,22:57:32,22:58:28,22:59:02,,,23:07:12,23:07:55,23:09:00,23:10:18,23:11:27,23:06:05,,,,,,23:16:00,,23:13:00,23:00:37
113279724237278601,,22:44:26,,22:36:00,,,,,22:54:11,22:56:38,22:57:54,22:59:00,22:42:57,22:45:00,,,22:42:00,,,,22:37:32,22:38:28,22:39:02,,,22:47:12,22:47:55,22:49:00,22:50:18,22:51:27,22:46:05,,,,,,22:56:00,,22:53:00,22:40:37
113279725237278601,,22:24:26,,22:16:00,,,,,22:34:11,22:36:38,22:37:54,22:39:00,22:22:57,22:25:00,,,22:22:00,,,,22:17:32,22:18:28,22:19:02,,,22:27:12,22:27:55,22:29:00,22:30:18,22:31:27,22:26:05,,,,,,22:36:00,,22:33:00,22:20:37
113279726237278601,,21:05:26,,20:57:00,,,,,,,,,21:03:57,21:06:00,,,21:03:00,,,,20:58:32,20:59:28,21:00:02,,,,,,,,,,,,,,,,,21:01:37
113279727237278601,,24:19:26,,24:12:00,,,,,,,,,24:17:57,24:20:00,,,24:17:00,,,,24:13:17,24:14:04,24:14:32,,,,,,,,,,,,,,,,,24:15:51
113279728237278601,,24:39:26,,24:32:00,,,,,,,,,24:37:57,24:40:00,,,24:37:00,,,,24:33:17,24:34:04,24:34:32,,,,,,,,,,,,,,,,,24:35:51
113279729237278601,,24:59:26,,24:52:00,,,,,,,,,24:57:57,25:00:00,,,24:57:00,,,,24:53:17,24:54:04,24:54:32,,,,,,,,,,,,,,,,,24:55:51
113279731237278601,,24:04:26,,23:57:00,,,,,24:14:11,24:16:38,24:17:54,24:19:00,24:02:57,24:05:00,,,24:02:00,,,,23:58:17,23:59:04,23:59:32,,,24:07:12,24:07:55,24:09:00,24:10:18,24:11:27,24:06:05,,,,,,24:16:00,,24:13:00,24:00:51
113279732237278601,,23:44:26,,23:37:00,,,,,23:54:11,23:56:38,23:57:54,23:59:00,23:42:57,23:45:00,,,23:42:00,,,,23:38:17,23:39:04,23:39:32,,,23:47:12,23:47:55,23:49:00,23:50:18,23:51:27,23:46:05,,,,,,23:56:00,,23:53:00,23:40:51
113279733237278601,,,,,,,,,05:42:11,05:44:38,05:45:54,05:47:00,,,,,,,,,,,,,,,,05:37:00,05:38:18,05:39:27,,,,,,,05:44:00,,05:41:00,
113279734237278601,,05:47:26,,05:39:00,,,,,05:57:11,05:59:38,06:00:54,06:02:00,05:45:57,05:48:00,,,05:45:00,,,,05:40:32,05:41:28,05:42:02,,,05:50:12,05:50:55,05:52:00,05:53:18,05:54:27,05:49:05,,,,,,05:59:00,,05:56:00,05:43:37
113279735237278601,,06:17:26,,06:09:00,,,,,06:27:11,06:29:38,06:30:54,06:32:00,06:15:57,06:18:00,,,06:15:00,,,,06:10:32,06:11:28,06:12:02,,,06:20:12,06:20:55,06:22:00,06:23:18,06:24:27,06:19:05,,,,,,06:29:00,,06:26:00,06:13:37
113279736237278601,,06:47:26,,06:39:00,,,,,06:57:11,06:59:38,07:00:54,07:02:00,06:45:57,06:48:00,,,06:45:00,,,,06:40:32,06:41:28,06:42:02,,,06:50:12,06:50:55,06:52:00,06:53:18,06:54:27,06:49:05,,,,,,06:59:00,,06:56:00,06:43:37
113279737237278601,,07:17:26,,07:09:00,,,,,07:27:11,07:29:38,07:30:54,07:32:00,07:15:57,07:18:00,,,07:15:00,,,,07:10:32,07:11:28,07:12:02,,,07:20:12,07:20:55,07:22:00,07:23:18,07:24:27,07:19:05,,,,,,07:29:00,,07:26:00,07:13:37
113279738237278601,,07:47:26,,07:39:00,,,,,07:57:11,07:59:38,08:00:54,08:02:00,07:45:57,07:48:00,,,07:45:00,,,,07:40:32,07:41:28,07:42:02,,,07:50:12,07:50:55,07:52:00,07:53:18,07:54:27,07:49:05,,,,,,07:59:00,,07:56:00,07:43:37
