trip_id,1453,1455,1472,4287,4288,4289,4290,4292,4293,4294,4295,4296,4297,4298,4299,4310,4311,4313,4314,4315,4318,4319,4340,4341,4342,4344,4345,4347,4348,4349,4351,4355,4357,4358,9059
113306151237420000,11:06:17,,11:14:30,,11:11:18,11:10:35,11:11:52,,,,,,10:59:00,11:00:35,11:01:53,11:03:00,11:04:59,11:07:00,,,,11:15:08,,,11:09:49,,,11:07:56,,11:09:00,,,,,11:16:00
113306152237420000,11:21:17,,11:29:30,,11:26:18,11:25:35,11:26:52,,,,,,11:14:00,11:15:35,11:16:53,11:18:00,11:19:59,11:22:00,,,,11:30:08,,,11:24:49,,,11:22:56,,11:24:00,,,,,11:31:00
113306153237420000,11:36:17,,11:44:30,,11:41:18,11:40:35,11:41:52,,,,,,11:29:00,11:30:35,11:31:53,11:33:00,11:34:59,11:37:00,,,,11:45:08,,,11:39:49,,,11:37:56,,11:39:00,,,,,11:46:00
113306154237420000,11:51:17,,11:59:30,,11:56:18,11:55:35,11:56:52,,,,,,11:44:00,11:45:35,11:46:53,11:48:00,11:49:59,11:52:00,,,,12:00:08,,,11:54:49,,,11:52:56,,11:54:00,,,,,12:01:00
113306155237420000,12:06:17,,12:14:30,,12:11:18,12:10:35,12:11:52,,,,,,11:59:00,12:00:35,12:01:53,12:03:00,12:04:59,12:07:00,,,,12:15:08,,,12:09:49,,,12:07:56,,12:09:00,,,,,12:16:00
113306156237420000,12:21:17,,12:29:30,,12:26:18,12:25:35,12:26:52,,,,,,12:14:00,12:15:35,12:16:53,12:18:00,12:19:59,12:22:00,,,,12:30:08,,,12:24:49,,,12:22:56,,12:24:00,,,,,12:31:00
113306157237420000,12:36:17,,12:44:30,,12:41:18,12:40:35,12:41:52,,,,,,12:29:00,12:30:35,12:31:53,12:33:00,12:34:59,12:37:00,,,,12:45:08,,,12:39:49,,,12:37:56,,12:39:00,,,,,12:46:00
113306158237420000,12:51:17,,12:59:30,,12:56:18,12:55:35,12:56:52,,,,,,12:44:00,12:45:35,12:46:53,12:48:00,12:49:59,12:52:00,,,,13:00:08,,,12:54:49,,,12:52:56,,12:54:00,,,,,13:01:00
113306159237420000,13:06:17,,13:14:30,,13:11:18,13:10:35,13:11:52,,,,,,12:59:00,13:00:35,13:01:53,13:03:00,13:04:59,13:07:00,,,,13:15:08,,,13:09:49,,,13:07:56,,13:09:00,,,,,13:16:00
113306160237420000,13:21:17,,13:29:30,,13:26:18,13:25:35,13:26:52,,,,,,13:14:00,13:15:35,13:16:53,13:18:00,13:19:59,13:22:00,,,,13:30:08,,,13:24:49,,,13:22:56,,13:24:00,,,,,13:31:00
