trip_id,1662,1664,2127,2141,2218,2225,2252,2254,2259,2260,2683,2684,2685,3055,3056,3057,3066,3608B,3609,3612,3613,6483B,6484B,6792,6799,6808B,6811B,6856B,6860B,7568
113714026239009501,,15:10:00,15:20:11,,15:16:36,,15:22:35,15:25:00,,,,15:30:00,,,,15:17:06,15:18:44,15:28:58,15:29:26,,,15:24:00,,15:28:00,,15:12:24,15:26:46,,,15:15:00
113714027239009501,,15:20:00,15:30:11,,15:26:36,,15:32:35,15:35:00,,,,15:40:00,,,,15:27:06,15:28:44,15:38:58,15:39:26,,,15:34:00,,15:38:00,,15:22:24,15:36:46,,,15:25:00
113714028239009501,,15:30:00,15:40:11,,15:36:36,,15:42:35,15:45:00,,,,15:50:00,,,,15:37:06,15:38:44,15:48:58,15:49:26,,,15:44:00,,15:48:00,,15:32:24,15:46:46,,,15:35:00
113714029239009501,,15:40:00,15:50:11,,15:46:36,,15:52:35,15:55:00,,,,16:00:00,,,,15:47:06,15:48:44,15:58:58,15:59:26,,,15:54:00,,15:58:00,,15:42:24,15:56:46,,,15:45:00
113714030239009501,,15:51:00,16:01:11,,15:57:36,,16:03:35,16:06:00,,,,16:11:00,,,,15:58:06,15:59:44,16:09:58,16:10:26,,,16:05:00,,16:09:00,,15:53:24,16:07:46,,,15:56:00
113714031239009501,,16:01:00,16:11:11,,16:07:36,,16:13:35,16:16:00,,,,16:21:00,,,,16:08:06,16:09:44,16:19:58,16:20:26,,,16:15:00,,16:19:00,,16:03:24,16:17:46,,,16:06:00
113714032239009501,,16:10:00,16:20:11,,16:16:36,,16:22:35,16:25:00,,,,16:30:00,,,,16:17:06,16:18:44,16:28:58,16:29:26,,,16:24:00,,16:28:00,,16:12:24,16:26:46,,,16:15:00
113714033239009501,,16:20:00,16:30:11,,16:26:36,,16:32:35,16:35:00,,,,16:40:00,,,,16:27:06,16:28:44,16:38:58,16:39:26,,,16:34:00,,16:38:00,,16:22:24,16:36:46,,,16:25:00
113714034239009501,,16:30:00,16:40:11,,16:36:36,,16:42:35,16:45:00,,,,16:50:00,,,,16:37:06,16:38:44,16:48:58,16:49:26,,,16:44:00,,16:48:00,,16:32:24,16:46:46,,,16:35:00
113714035239009501,,16:40:00,16:50:11,,16:46:36,,16:52:35,16:55:00,,,,17:00:00,,,,16:47:06,16:48:44,16:58:58,16:59:26,,,16:54:00,,16:58:00,,16:42:24,16:56:46,,,16:45:00
113714036239009501,,16:50:00,17:00:11,,16:56:36,,17:02:35,17:05:00,,,,17:10:00,,,,16:57:06,16:58:44,17:08:58,17:09:26,,,17:04:00,,17:08:00,,16:52:24,17:06:46,,,16:55:00
113714037239009501,,17:00:00,17:10:11,,17:06:36,,17:12:35,17:15:00,,,,17:20:00,,,,17:07:06,17:08:44,17:18:58,17:19:26,,,17:14:00,,17:18:00,,17:02:24,17:16:46,,,17:05:00
113714038239009501,,17:11:00,17:21:11,,17:17:36,,17:23:35,17:26:00,,,,17:31:00,,,,17:18:06,17:19:44,17:29:58,17:30:26,,,17:25:00,,17:29:00,,17:13:24,17:27:46,,,17:16:00
113714039239009501,,17:21:00,17:31:11,,17:27:36,,17:33:35,17:36:00,,,,17:41:00,,,,17:28:06,17:29:44,17:39:58,17:40:26,,,17:35:00,,17:39:00,,17:23:24,17:37:46,,,17:26:00
113714040239009501,,17:31:00,17:41:11,,17:37:36,,17:43:35,17:46:00,,,,17:51:00,,,,17:38:06,17:39:44,17:49:58,17:50:26,,,17:45:00,,17:49:00,,17:33:24,17:47:46,,,17:36:00
113714041239009501,,17:41:00,17:51:11,,17:47:36,,17:53:35,17:56:00,,,,18:01:00,,,,17:48:06,17:49:44,17:59:58,18:00:26,,,17:55:00,,17:59:00,,17:43:24,17:57:46,,,17:46:00
113714042239009501,,17:51:00,18:01:11,,17:57:36,,18:03:35,18:06:00,,,,18:11:00,,,,17:58:06,17:59:44,18:09:58,18:10:26,,,18:05:00,,18:09:00,,17:53:24,18:07:46,,,17:56:00
113714043239009501,,18:01:00,18:10:11,,18:06:36,,18:12:35,18:15:00,,,,18:20:00,,,,18:07:06,18:08:44,18:18:58,18:19:26,,,18:14:00,,18:18:00,,18:02:55,18:16:46,,,18:05:00
113714044239009501,,18:11:00,18:20:11,,18:16:36,,18:22:35,18:25:00,,,,18:30:00,,,,18:17:06,18:18:44,18:28:58,18:29:26,,,18:24:00,,18:28:00,,18:12:55,18:26:46,,,18:15:00
113714045239009501,,18:21:00,18:30:11,,18:26:36,,18:32:35,18:35:00,,,,18:40:00,,,,18:27:06,18:28:44,18:38:58,18:39:26,,,18:34:00,,18:38:00,,18:22:55,18:36:46,,,18:25:00
113714046239009501,,18:31:00,18:40:11,,18:36:36,,18:42:35,18:45:00,,,,18:50:00,,,,18:37:06,18:38:44,18:48:58,18:49:26,,,18:44:00,,18:48:00,,18:32:55,18:46:46,,,18:35:00
