trip_id,1018,1204,1260,1478,1479,1480,1482,1483,1484,1486B,1487,1489,1490,1492,1493,1495,1498,1541B,2319,2375,2382,2383,2648,5296B,5297B,6856B
113349529237570001,06:28:00,,06:24:15,06:15:17,06:16:28,06:18:17,06:22:51,06:25:26,06:26:49,06:29:00,,,,,,06:20:14,06:17:08,,06:22:00,,,06:14:00,,,06:19:00,06:20:54
113349530237570001,07:17:00,,07:12:37,07:01:32,07:02:58,07:05:09,07:11:00,07:14:01,07:15:37,07:18:00,,,,,,07:07:39,07:03:46,,07:10:00,,,07:00:00,,,07:06:00,07:08:32
113349531237570001,,09:14:39,,,,,,,,09:10:00,09:11:16,09:16:02,09:19:41,09:22:56,09:25:04,,,09:26:00,,09:17:00,09:28:00,,09:14:04,09:22:00,,
113349536237570001,15:17:00,,15:12:00,14:58:47,15:00:28,15:03:00,15:10:08,15:13:35,15:15:26,15:18:00,,,,,,15:06:04,15:01:24,,15:09:00,,,14:57:00,,,15:04:00,15:07:10
113349537237570001,19:37:00,,19:32:37,19:21:32,19:22:58,19:25:09,19:31:00,19:34:01,19:35:37,19:38:00,,,,,,19:27:39,19:23:46,,19:30:00,,,19:20:00,,,19:26:00,19:28:32
113349538237570001,16:59:00,,16:54:00,16:40:03,16:41:57,16:44:51,16:52:08,16:55:35,16:57:26,17:00:00,,,,,,16:48:04,16:43:02,,16:51:00,,,16:38:00,,,16:46:00,16:49:10
113349539237570001,17:47:00,,17:42:00,17:28:03,17:29:57,17:32:51,17:40:08,17:43:35,17:45:26,17:48:00,,,,,,17:36:04,17:31:02,,17:39:00,,,17:26:00,,,17:34:00,17:37:10
113349540237570001,,16:16:39,,,,,,,,16:12:00,16:13:16,16:18:02,16:21:41,16:25:10,16:27:50,,,16:29:00,,16:19:00,16:31:00,,16:16:04,16:24:00,,
113349541237570001,,17:03:39,,,,,,,,16:59:00,17:00:16,17:05:02,17:08:41,17:12:10,17:14:50,,,17:16:00,,17:06:00,17:18:00,,17:03:04,17:11:00,,
113349543237570001,,17:53:39,,,,,,,,17:49:00,17:50:16,17:55:02,17:58:09,18:00:56,18:03:04,,,18:04:00,,17:56:00,18:06:00,,17:53:04,18:00:00,,
113349544237570001,18:32:00,,18:27:00,18:15:32,18:16:58,18:19:09,18:25:08,18:28:35,18:30:26,18:33:00,,,,,,18:21:39,18:17:46,,18:24:00,,,18:14:00,,,18:20:00,18:22:32
113349545237570001,20:21:00,,20:17:15,20:07:17,20:08:28,20:10:17,20:15:51,20:18:26,20:19:49,20:22:00,,,,,,20:12:39,20:09:08,,20:15:00,,,20:06:00,,,20:11:00,20:13:32
113349546237570001,,19:47:39,,,,,,,,19:43:00,19:44:16,19:49:02,19:52:09,19:54:56,19:57:04,,,19:58:00,,19:50:00,20:00:00,,19:47:04,19:54:00,,
113349548237570001,16:08:00,,16:03:00,15:49:47,15:51:28,15:54:00,16:01:08,16:04:35,16:06:26,16:09:00,,,,,,15:57:04,15:52:24,,16:00:00,,,15:48:00,,,15:55:00,15:58:10
113349549237570001,,18:40:39,,,,,,,,18:36:00,18:37:16,18:42:02,18:45:09,18:47:56,18:50:04,,,18:51:00,,18:43:00,18:53:00,,18:40:04,18:47:00,,
113349552237570001,13:46:00,,13:41:37,13:28:47,13:30:28,13:33:00,13:40:00,13:43:01,13:44:37,13:47:00,,,,,,13:36:04,13:31:24,,13:39:00,,,13:27:00,,,13:34:00,13:37:10
113349554237570001,,14:54:39,,,,,,,,14:50:00,14:51:16,14:56:02,14:59:41,15:03:10,15:05:50,,,15:07:00,,14:57:00,15:09:00,,14:54:04,15:02:00,,
113349556237570001,11:31:00,,11:26:37,11:13:47,11:15:28,11:18:00,11:25:00,11:28:01,11:29:37,11:32:00,,,,,,11:21:04,11:16:24,,11:24:00,,,11:12:00,,,11:19:00,11:22:10
113349558237570001,,13:56:39,,,,,,,,13:52:00,13:53:16,13:58:02,14:01:41,14:04:56,14:07:04,,,14:08:00,,13:59:00,14:10:00,,13:56:04,14:04:00,,
113349560237570001,13:02:00,,12:57:37,12:44:47,12:46:28,12:49:00,12:56:00,12:59:01,13:00:37,13:03:00,,,,,,12:52:04,12:47:24,,12:55:00,,,12:43:00,,,12:50:00,12:53:10
113349562237570001,10:44:00,,10:39:37,10:26:47,10:28:28,10:31:00,10:38:00,10:41:01,10:42:37,10:45:00,,,,,,10:34:04,10:29:24,,10:37:00,,,10:25:00,,,10:32:00,10:35:10
113349563237570001,,11:36:39,,,,,,,,11:32:00,11:33:16,11:38:02,11:41:41,11:44:56,11:47:04,,,11:48:00,,11:39:00,11:50:00,,11:36:04,11:44:00,,
113349564237570001,,10:51:39,,,,,,,,10:47:00,10:48:16,10:53:02,10:56:41,10:59:56,11:02:04,,,11:03:00,,10:54:00,11:05:00,,10:51:04,10:59:00,,
113349565237570001,12:16:00,,12:11:37,11:58:47,12:00:28,12:03:00,12:10:00,12:13:01,12:14:37,12:17:00,,,,,,12:06:04,12:01:24,,12:09:00,,,11:57:00,,,12:04:00,12:07:10
113349566237570001,,12:22:39,,,,,,,,12:18:00,12:19:16,12:24:02,12:27:41,12:30:56,12:33:04,,,12:34:00,,12:25:00,12:36:00,,12:22:04,12:30:00,,
113349567237570001,,13:05:39,,,,,,,,13:01:00,13:02:16,13:07:02,13:10:41,13:13:56,13:16:04,,,13:17:00,,13:08:00,13:19:00,,13:05:04,13:13:00,,
113349568237570001,14:44:00,,14:39:00,14:25:47,14:27:28,14:30:00,14:37:08,14:40:35,14:42:26,14:45:00,,,,,,14:33:04,14:28:24,,14:36:00,,,14:24:00,,,14:31:00,14:34:10
113349569237570001,12:01:00,,11:56:37,11:43:47,11:45:28,11:48:00,11:55:00,11:58:01,11:59:37,12:02:00,,,,,,11:51:04,11:46:24,,11:54:00,,,11:42:00,,,11:49:00,11:52:10
113349573237570001,09:48:00,,09:43:37,09:30:47,09:32:28,09:35:00,09:42:00,09:45:01,09:46:37,09:49:00,,,,,,09:38:04,09:33:24,,09:41:00,,,09:29:00,,,09:36:00,09:39:10
113349575237570001,,09:54:39,,,,,,,,09:50:00,09:51:16,09:56:02,09:59:41,10:02:56,10:05:04,,,10:06:00,,09:57:00,10:08:00,,09:54:04,10:02:00,,
113349576237570001,11:17:00,,11:12:37,10:59:47,11:01:28,11:04:00,11:11:00,11:14:01,11:15:37,11:18:00,,,,,,11:07:04,11:02:24,,11:10:00,,,10:58:00,,,11:05:00,11:08:10
113349577237570001,,11:20:39,,,,,,,,11:16:00,11:17:16,11:22:02,11:25:41,11:28:56,11:31:04,,,11:32:00,,11:23:00,11:34:00,,11:20:04,11:28:00,,
113349579237570001,10:29:00,,10:24:37,10:11:47,10:13:28,10:16:00,10:23:00,10:26:01,10:27:37,10:30:00,,,,,,10:19:04,10:14:24,,10:22:00,,,10:10:00,,,10:17:00,10:20:10
113349582237570001,,10:36:39,,,,,,,,10:32:00,10:33:16,10:38:02,10:41:41,10:44:56,10:47:04,,,10:48:00,,10:39:00,10:50:00,,10:36:04,10:44:00,,
113349586237570001,,12:07:39,,,,,,,,12:03:00,12:04:16,12:09:02,12:12:41,12:15:56,12:18:04,,,12:19:00,,12:10:00,12:21:00,,12:07:04,12:15:00,,
113349588237570001,13:30:00,,13:25:37,13:12:47,13:14:28,13:17:00,13:24:00,13:27:01,13:28:37,13:31:00,,,,,,13:20:04,13:15:24,,13:23:00,,,13:11:00,,,13:18:00,13:21:10
113349591237570001,,13:40:39,,,,,,,,13:36:00,13:37:16,13:42:02,13:45:41,13:48:56,13:51:04,,,13:52:00,,13:43:00,13:54:00,,13:40:04,13:48:00,,
113349594237570001,12:47:00,,12:42:37,12:29:47,12:31:28,12:34:00,12:41:00,12:44:01,12:45:37,12:48:00,,,,,,12:37:04,12:32:24,,12:40:00,,,12:28:00,,,12:35:00,12:38:10
113349596237570001,14:15:00,,14:10:00,13:56:47,13:58:28,14:01:00,14:08:08,14:11:35,14:13:26,14:16:00,,,,,,14:04:04,13:59:24,,14:07:00,,,13:55:00,,,14:02:00,14:05:10
113349597237570001,,14:25:39,,,,,,,,14:21:00,14:22:16,14:27:02,14:30:41,14:33:56,14:36:04,,,14:37:00,,14:28:00,14:39:00,,14:25:04,14:33:00,,
113349599237570001,,12:50:39,,,,,,,,12:46:00,12:47:16,12:52:02,12:55:41,12:58:56,13:01:04,,,13:02:00,,12:53:00,13:04:00,,12:50:04,12:58:00,,
113349606237570001,12:32:00,,12:27:37,12:14:47,12:16:28,12:19:00,12:26:00,12:29:01,12:30:37,12:33:00,,,,,,12:22:04,12:17:24,,12:25:00,,,12:13:00,,,12:20:00,12:23:10
113349609237570001,11:01:00,,10:56:37,10:43:47,10:45:28,10:48:00,10:55:00,10:58:01,10:59:37,11:02:00,,,,,,10:51:04,10:46:24,,10:54:00,,,10:42:00,,,10:49:00,10:52:10
113349610237570001,14:00:00,,13:55:37,13:42:47,13:44:28,13:47:00,13:54:00,13:57:01,13:58:37,14:01:00,,,,,,13:50:04,13:45:24,,13:53:00,,,13:41:00,,,13:48:00,13:51:10
113349612237570001,10:14:00,,10:09:37,09:56:47,09:58:28,10:01:00,10:08:00,10:11:01,10:12:37,10:15:00,,,,,,10:04:04,09:59:24,,10:07:00,,,09:55:00,,,10:02:00,10:05:10
113349613237570001,11:46:00,,11:41:37,11:28:47,11:30:28,11:33:00,11:40:00,11:43:01,11:44:37,11:47:00,,,,,,11:36:04,11:31:24,,11:39:00,,,11:27:00,,,11:34:00,11:37:10
113349614237570001,,11:52:39,,,,,,,,11:48:00,11:49:16,11:54:02,11:57:41,12:00:56,12:03:04,,,12:04:00,,11:55:00,12:06:00,,11:52:04,12:00:00,,
113349615237570001,13:17:00,,13:12:37,12:59:47,13:01:28,13:04:00,13:11:00,13:14:01,13:15:37,13:18:00,,,,,,13:07:04,13:02:24,,13:10:00,,,12:58:00,,,13:05:00,13:08:10
113349617237570001,,13:18:39,,,,,,,,13:14:00,13:15:16,13:20:02,13:23:41,13:26:56,13:29:04,,,13:30:00,,13:21:00,13:32:00,,13:18:04,13:26:00,,
113349618237570001,,12:37:39,,,,,,,,12:33:00,12:34:16,12:39:02,12:42:41,12:45:56,12:48:04,,,12:49:00,,12:40:00,12:51:00,,12:37:04,12:45:00,,
113349619237570001,,10:21:39,,,,,,,,10:17:00,10:18:16,10:23:02,10:26:41,10:29:56,10:32:04,,,10:33:00,,10:24:00,10:35:00,,10:21:04,10:29:00,,
113349620237570001,,11:06:39,,,,,,,,11:02:00,11:03:16,11:08:02,11:11:41,11:14:56,11:17:04,,,11:18:00,,11:09:00,11:20:00,,11:06:04,11:14:00,,
