trip_id,1535,2100,2101,2102,2173,2174,2345,2346,2792,2795,2796,2839,3062,3072,3210B,3272,3273,3274,3284,3285,3286B,3288,3353,3354,3355,3402,3403,3408,3409,3410,3411,3417,3419,3448B,3449,3450,3459,3460,3470,3661,5735,6303B,6308,6359,6364B,6410,6411,6435,6438,6442,6445,9060
113069187236665601,,21:39:11,,21:40:00,,21:43:46,21:42:00,21:42:46,,,21:34:46,21:36:37,,21:27:00,,21:52:00,21:52:41,21:54:00,,21:55:00,21:56:20,21:57:00,21:27:45,21:29:00,21:30:00,,,,,,,,,21:46:50,21:45:12,21:47:48,21:50:00,21:51:01,21:45:58,,,,,21:33:01,21:37:53,21:34:00,,21:32:00,,,21:25:00,21:31:00
113069188236665601,,21:24:11,,21:25:00,,21:28:46,21:27:00,21:27:46,,,21:19:46,21:21:37,,21:12:00,,21:37:00,21:37:41,21:39:00,,21:40:00,21:41:20,21:42:00,21:12:45,21:14:00,21:15:00,,,,,,,,,21:31:50,21:30:12,21:32:48,21:35:00,21:36:01,21:30:58,,,,,21:18:01,21:22:53,21:19:00,,21:17:00,,,21:10:00,21:16:00
113069189236665601,,21:09:11,,21:10:00,,21:13:46,21:12:00,21:12:46,,,21:04:46,21:06:37,,20:57:00,,21:22:00,21:22:41,21:24:00,,21:25:00,21:26:20,21:27:00,20:57:45,20:59:00,21:00:00,,,,,,,,,21:16:50,21:15:12,21:17:48,21:20:00,21:21:01,21:15:58,,,,,21:03:01,21:07:53,21:04:00,,21:02:00,,,20:55:00,21:01:00
113069190236665601,,20:55:02,,20:56:00,,20:59:32,20:58:00,20:58:40,,,20:49:53,20:52:03,,20:42:00,,21:07:00,21:07:41,21:09:00,,21:10:00,21:11:20,21:12:00,20:42:45,20:44:00,20:45:00,,,,,,,,,21:02:14,21:00:48,21:03:05,21:05:00,21:06:01,21:01:28,,,,,20:48:01,20:53:31,20:49:00,,20:47:00,,,20:40:00,20:46:00
113069191236665601,,20:40:02,,20:41:00,,20:44:32,20:43:00,20:43:40,,,20:34:53,20:37:03,,20:27:00,,20:52:00,20:52:41,20:54:00,,20:55:00,20:56:20,20:57:00,20:27:45,20:29:00,20:30:00,,,,,,,,,20:47:14,20:45:48,20:48:05,20:50:00,20:51:01,20:46:28,,,,,20:33:01,20:38:31,20:34:00,,20:32:00,,,20:25:00,20:31:00
113069192236665601,,20:25:54,,20:27:00,,20:30:32,20:29:00,20:29:40,,,20:20:01,20:22:30,,20:12:00,,20:38:00,20:38:41,20:40:00,,20:41:00,20:42:20,20:43:00,20:12:45,20:14:00,20:15:00,,,,,,,,,20:33:14,20:31:48,20:34:05,20:36:00,20:37:01,20:32:28,,,,,20:18:01,20:24:10,20:19:00,,20:17:00,,,20:10:00,20:16:00
113069193236665601,,20:10:54,,20:12:00,,20:15:32,20:14:00,20:14:40,,,20:05:01,20:07:30,,19:57:00,,20:23:00,20:23:41,20:25:00,,20:26:00,20:27:20,20:28:00,19:57:45,19:59:00,20:00:00,,,,,,,,,20:18:14,20:16:48,20:19:05,20:21:00,20:22:01,20:17:28,,,,,20:03:01,20:09:10,20:04:00,,20:02:00,,,19:55:00,20:01:00
113069194236665601,,19:56:46,,19:58:00,,20:01:32,20:00:00,20:00:40,,,19:50:09,19:52:56,,19:41:00,,20:09:00,20:09:41,20:11:00,,20:12:00,20:13:20,20:14:00,19:41:45,19:43:00,19:44:00,,,,,,,,,20:04:14,20:02:48,20:05:05,20:07:00,20:08:01,20:03:28,,,,,19:48:01,19:54:49,19:49:00,,19:47:00,,,19:39:00,19:45:30
113069195236665601,,19:41:46,,19:43:00,,19:46:32,19:45:00,19:45:40,,,19:35:09,19:37:56,,19:26:00,,19:54:00,19:54:41,19:56:00,,19:57:00,19:58:20,19:59:00,19:26:45,19:28:00,19:29:00,,,,,,,,,19:49:14,19:47:48,19:50:05,19:52:00,19:53:01,19:48:28,,,,,19:33:01,19:39:49,19:34:00,,19:32:00,,,19:24:00,19:30:30
113069196236665601,,19:26:46,,19:28:00,,19:31:32,19:30:00,19:30:40,,,19:20:09,19:22:56,,19:11:00,,19:39:00,19:39:41,19:41:00,,19:42:00,19:43:20,19:44:00,19:11:45,19:13:00,19:14:00,,,,,,,,,19:34:14,19:32:48,19:35:05,19:37:00,19:38:01,19:33:28,,,,,19:18:01,19:24:49,19:19:00,,19:17:00,,,19:09:00,19:15:30
113069197236665601,,19:12:46,,19:14:00,,19:17:32,19:16:00,19:16:40,,,19:06:09,19:08:56,,18:56:00,,19:25:00,19:25:41,19:27:00,,19:28:00,19:29:20,19:30:00,18:56:45,18:58:00,18:59:00,,,,,,,,,19:20:14,19:18:48,19:21:05,19:23:00,19:24:01,19:19:28,,,,,19:04:01,19:10:49,19:05:00,,19:03:00,,,18:54:00,19:01:01
113069198236665601,,18:57:38,,18:59:00,,19:02:32,19:01:00,19:01:40,,,18:50:16,18:53:22,,18:40:00,,19:10:00,19:10:41,19:12:00,,19:13:00,19:14:20,19:15:00,18:40:45,18:42:00,18:43:00,,,,,,,,,19:05:14,19:03:48,19:06:05,19:08:00,19:09:01,19:04:28,,,,,18:48:01,18:55:27,18:49:00,,18:47:00,,,18:38:00,18:45:01
113069199236665601,,18:42:38,,18:44:00,,18:47:32,18:46:00,18:46:40,,,18:35:16,18:38:22,,18:25:00,,18:56:00,18:56:41,18:58:00,,18:59:00,19:00:20,19:01:00,18:25:45,18:27:00,18:28:00,,,,,,,,,18:50:14,18:48:48,18:51:05,18:53:00,18:54:32,18:49:28,,,,,18:33:01,18:40:27,18:34:00,,18:32:00,,,18:23:00,18:30:01
113069200236665601,,18:28:29,,18:30:00,,18:33:32,18:32:00,18:32:40,,,18:20:24,18:23:48,,18:10:00,,18:42:00,18:42:41,18:44:00,,18:45:00,18:46:20,18:47:00,18:10:45,18:12:00,18:13:00,,,,,,,,,18:36:14,18:34:48,18:37:05,18:39:00,18:40:32,18:35:28,,,,,18:18:01,18:26:06,18:19:00,,18:17:00,,,18:08:00,18:15:01
113069201236665601,,18:13:29,,18:15:00,,18:18:32,18:17:00,18:17:40,,,18:05:24,18:08:48,,17:55:00,,18:27:00,18:27:41,18:29:00,,18:30:00,18:31:20,18:32:00,17:55:45,17:57:00,17:58:00,,,,,,,,,18:21:14,18:19:48,18:22:05,18:24:00,18:25:32,18:20:28,,,,,18:03:01,18:11:06,18:04:00,,18:02:00,,,17:53:00,18:00:01
113069202236665601,,17:58:29,,18:00:00,,18:03:32,18:02:00,18:02:40,,,17:50:24,17:53:48,,17:40:00,,18:12:00,18:12:41,18:14:00,,18:15:00,18:16:20,18:17:00,17:40:45,17:42:00,17:43:00,,,,,,,,,18:06:14,18:04:48,18:07:05,18:09:00,18:10:32,18:05:28,,,,,17:48:01,17:56:06,17:49:00,,17:47:00,,,17:38:00,17:45:01
113069203236665601,,17:43:29,,17:45:00,,17:48:32,17:47:00,17:47:40,,,17:35:24,17:38:48,,17:25:00,,17:57:00,17:57:41,17:59:00,,18:00:00,18:01:20,18:02:00,17:25:45,17:27:00,17:28:00,,,,,,,,,17:51:14,17:49:48,17:52:05,17:54:00,17:55:32,17:50:28,,,,,17:33:01,17:41:06,17:34:00,,17:32:00,,,17:23:00,17:30:01
113069204236665601,,17:28:29,,17:30:00,,17:33:32,17:32:00,17:32:40,,,17:20:24,17:23:48,,17:10:00,,17:42:00,17:42:41,17:44:00,,17:45:00,17:46:20,17:47:00,17:10:45,17:12:00,17:13:00,,,,,,,,,17:36:14,17:34:48,17:37:05,17:39:00,17:40:32,17:35:28,,,,,17:18:01,17:26:06,17:19:00,,17:17:00,,,17:08:00,17:15:01
113069205236665601,,17:13:29,,17:15:00,,17:18:32,17:17:00,17:17:40,,,17:05:24,17:08:48,,16:55:00,,17:27:00,17:27:41,17:29:00,,17:30:00,17:31:20,17:32:00,16:55:45,16:57:00,16:58:00,,,,,,,,,17:21:14,17:19:48,17:22:05,17:24:00,17:25:32,17:20:28,,,,,17:03:01,17:11:06,17:04:00,,17:02:00,,,16:53:00,17:00:01
113069206236665601,,16:58:29,,17:00:00,,17:03:32,17:02:00,17:02:40,,,16:50:24,16:53:48,,16:40:00,,17:12:00,17:12:41,17:14:00,,17:15:00,17:16:20,17:17:00,16:40:45,16:42:00,16:43:00,,,,,,,,,17:06:14,17:04:48,17:07:05,17:09:00,17:10:32,17:05:28,,,,,16:48:01,16:56:06,16:49:00,,16:47:00,,,16:38:00,16:45:01
113069207236665601,,16:43:29,,16:45:00,,16:48:32,16:47:00,16:47:40,,,16:35:24,16:38:48,,16:25:00,,16:57:00,16:57:41,16:59:00,,17:00:00,17:01:20,17:02:00,16:25:45,16:27:00,16:28:00,,,,,,,,,16:51:14,16:49:48,16:52:05,16:54:00,16:55:32,16:50:28,,,,,16:33:01,16:41:06,16:34:00,,16:32:00,,,16:23:00,16:30:01
113069208236665601,,16:28:29,,16:30:00,,16:33:32,16:32:00,16:32:40,,,16:20:24,16:23:48,,16:10:00,,16:42:00,16:42:41,16:44:00,,16:45:00,16:46:20,16:47:00,16:10:45,16:12:00,16:13:00,,,,,,,,,16:36:14,16:34:48,16:37:05,16:39:00,16:40:32,16:35:28,,,,,16:18:01,16:26:06,16:19:00,,16:17:00,,,16:08:00,16:15:01
113069209236665601,,16:11:38,,16:13:00,,16:16:32,16:15:00,16:15:40,,,16:04:16,16:07:22,,15:55:00,,16:25:00,16:25:41,16:27:00,,16:28:00,16:29:20,16:30:00,15:55:45,15:57:00,15:58:00,,,,,,,,,16:19:14,16:17:48,16:20:05,16:22:00,16:23:32,16:18:28,,,,,16:02:01,16:09:27,16:03:00,,16:01:00,,,15:53:00,15:59:30
113069210236665601,,15:57:38,,15:59:00,,16:02:32,16:01:00,16:01:40,,,15:50:16,15:53:22,,15:41:00,,16:11:00,16:11:41,16:13:00,,16:14:00,16:15:20,16:16:00,15:41:45,15:43:00,15:44:00,,,,,,,,,16:05:14,16:03:48,16:06:05,16:08:00,16:09:32,16:04:28,,,,,15:48:01,15:55:27,15:49:00,,15:47:00,,,15:39:00,15:45:30
113069211236665601,,15:42:38,,15:44:00,,15:47:32,15:46:00,15:46:40,,,15:35:16,15:38:22,,15:26:00,,15:56:00,15:56:41,15:58:00,,15:59:00,16:00:20,16:01:00,15:26:45,15:28:00,15:29:00,,,,,,,,,15:50:14,15:48:48,15:51:05,15:53:00,15:54:32,15:49:28,,,,,15:33:01,15:40:27,15:34:00,,15:32:00,,,15:24:00,15:30:30
113069212236665601,,15:27:38,,15:29:00,,15:32:32,15:31:00,15:31:40,,,15:20:16,15:23:22,,15:11:00,,15:41:00,15:41:41,15:43:00,,15:44:00,15:45:20,15:46:00,15:11:45,15:13:00,15:14:00,,,,,,,,,15:35:14,15:33:48,15:36:05,15:38:00,15:39:32,15:34:28,,,,,15:18:01,15:25:27,15:19:00,,15:17:00,,,15:09:00,15:15:30
113069213236665601,,15:12:38,,15:14:00,,15:17:32,15:16:00,15:16:40,,,15:05:16,15:08:22,,14:56:00,,15:26:00,15:26:41,15:28:00,,15:29:00,15:30:20,15:31:00,14:56:45,14:58:00,14:59:00,,,,,,,,,15:20:14,15:18:48,15:21:05,15:23:00,15:24:32,15:19:28,,,,,15:03:01,15:10:27,15:04:00,,15:02:00,,,14:54:00,15:00:30
113069214236665601,,14:57:38,,14:59:00,,15:02:32,15:01:00,15:01:40,,,14:50:16,14:53:22,,14:41:00,,15:11:00,15:11:41,15:13:00,,15:14:00,15:15:20,15:16:00,14:41:45,14:43:00,14:44:00,,,,,,,,,15:05:14,15:03:48,15:06:05,15:08:00,15:09:32,15:04:28,,,,,14:48:01,14:55:27,14:49:00,,14:47:00,,,14:39:00,14:45:30
113069215236665601,,14:42:38,,14:44:00,,14:47:32,14:46:00,14:46:40,,,14:35:16,14:38:22,,14:26:00,,14:56:00,14:56:41,14:58:00,,14:59:00,15:00:20,15:01:00,14:26:45,14:28:00,14:29:00,,,,,,,,,14:50:14,14:48:48,14:51:05,14:53:00,14:54:32,14:49:28,,,,,14:33:01,14:40:27,14:34:00,,14:32:00,,,14:24:00,14:30:30
113069216236665601,,14:27:38,,14:29:00,,14:32:32,14:31:00,14:31:40,,,14:20:16,14:23:22,,14:11:00,,14:41:00,14:41:41,14:43:00,,14:44:00,14:45:20,14:46:00,14:11:45,14:13:00,14:14:00,,,,,,,,,14:35:14,14:33:48,14:36:05,14:38:00,14:39:32,14:34:28,,,,,14:18:01,14:25:27,14:19:00,,14:17:00,,,14:09:00,14:15:30
113069217236665601,,14:12:38,,14:14:00,,14:17:32,14:16:00,14:16:40,,,14:05:16,14:08:22,,13:56:00,,14:26:00,14:26:41,14:28:00,,14:29:00,14:30:20,14:31:00,13:56:45,13:58:00,13:59:00,,,,,,,,,14:20:14,14:18:48,14:21:05,14:23:00,14:24:32,14:19:28,,,,,14:03:01,14:10:27,14:04:00,,14:02:00,,,13:54:00,14:00:30
113069218236665601,,13:57:38,,13:59:00,,14:02:32,14:01:00,14:01:40,,,13:50:16,13:53:22,,13:41:00,,14:11:00,14:11:41,14:13:00,,14:14:00,14:15:20,14:16:00,13:41:45,13:43:00,13:44:00,,,,,,,,,14:05:14,14:03:48,14:06:05,14:08:00,14:09:32,14:04:28,,,,,13:48:01,13:55:27,13:49:00,,13:47:00,,,13:39:00,13:45:30
113069219236665601,,13:42:38,,13:44:00,,13:47:32,13:46:00,13:46:40,,,13:35:16,13:38:22,,13:26:00,,13:56:00,13:56:41,13:58:00,,13:59:00,14:00:20,14:01:00,13:26:45,13:28:00,13:29:00,,,,,,,,,13:50:14,13:48:48,13:51:05,13:53:00,13:54:32,13:49:28,,,,,13:33:01,13:40:27,13:34:00,,13:32:00,,,13:24:00,13:30:30
113069220236665601,,13:27:38,,13:29:00,,13:32:32,13:31:00,13:31:40,,,13:20:16,13:23:22,,13:11:00,,13:41:00,13:41:41,13:43:00,,13:44:00,13:45:20,13:46:00,13:11:45,13:13:00,13:14:00,,,,,,,,,13:35:14,13:33:48,13:36:05,13:38:00,13:39:32,13:34:28,,,,,13:18:01,13:25:27,13:19:00,,13:17:00,,,13:09:00,13:15:30
113069221236665601,,13:12:38,,13:14:00,,13:17:32,13:16:00,13:16:40,,,13:05:16,13:08:22,,12:56:00,,13:26:00,13:26:41,13:28:00,,13:29:00,13:30:20,13:31:00,12:56:45,12:58:00,12:59:00,,,,,,,,,13:20:14,13:18:48,13:21:05,13:23:00,13:24:32,13:19:28,,,,,13:03:01,13:10:27,13:04:00,,13:02:00,,,12:54:00,13:00:30
113069222236665601,,12:57:38,,12:59:00,,13:02:32,13:01:00,13:01:40,,,12:50:16,12:53:22,,12:41:00,,13:11:00,13:11:41,13:13:00,,13:14:00,13:15:20,13:16:00,12:41:45,12:43:00,12:44:00,,,,,,,,,13:05:14,13:03:48,13:06:05,13:08:00,13:09:32,13:04:28,,,,,12:48:01,12:55:27,12:49:00,,12:47:00,,,12:39:00,12:45:30
113069223236665601,,12:42:38,,12:44:00,,12:47:32,12:46:00,12:46:40,,,12:35:16,12:38:22,,12:26:00,,12:56:00,12:56:41,12:58:00,,12:59:00,13:00:20,13:01:00,12:26:45,12:28:00,12:29:00,,,,,,,,,12:50:14,12:48:48,12:51:05,12:53:00,12:54:32,12:49:28,,,,,12:33:01,12:40:27,12:34:00,,12:32:00,,,12:24:00,12:30:30
