trip_id,1662,1664,1665,1666,2528,2541,3800,3802,3804B,3805,3808,3810,3812,3814,3815,3850,3851,3852,3853,3856,3858,3859,3860
113075591236680001,,15:11:00,,15:18:00,,,15:13:08,15:14:28,15:15:23,15:17:00,15:21:00,15:24:36,15:22:04,15:25:55,,15:27:00,,,15:23:28,,,,
113075592236680001,,15:23:00,,15:30:00,,,15:25:08,15:26:28,15:27:23,15:29:00,15:34:00,15:37:36,15:35:04,15:38:55,,15:40:00,,,15:36:28,,,,
113075593236680001,,15:35:00,,15:42:00,,,15:37:08,15:38:28,15:39:23,15:41:00,15:46:00,15:49:36,15:47:04,15:50:55,,15:52:00,,,15:48:28,,,,
113075594236680001,,15:47:00,,15:54:00,,,15:49:08,15:50:28,15:51:23,15:53:00,15:58:00,16:01:36,15:59:04,16:02:55,,16:04:00,,,16:00:28,,,,
113075595236680001,,15:59:00,,16:06:00,,,16:01:08,16:02:28,16:03:23,16:05:00,16:10:00,16:13:36,16:11:04,16:14:55,,16:16:00,,,16:12:28,,,,
113075596236680001,,16:11:00,,16:18:00,,,16:13:08,16:14:28,16:15:23,16:17:00,16:22:00,16:25:36,16:23:04,16:26:55,,16:28:00,,,16:24:28,,,,
113075597236680001,,16:23:00,,16:30:00,,,16:25:08,16:26:28,16:27:23,16:29:00,16:34:00,16:37:36,16:35:04,16:38:55,,16:40:00,,,16:36:28,,,,
113075598236680001,,16:35:00,,16:42:00,,,16:37:08,16:38:28,16:39:23,16:41:00,16:46:00,16:49:36,16:47:04,16:50:55,,16:52:00,,,16:48:28,,,,
113075599236680001,,16:47:00,,16:54:00,,,16:49:08,16:50:28,16:51:23,16:53:00,16:58:00,17:01:36,16:59:04,17:02:55,,17:04:00,,,17:00:28,,,,
113075600236680001,,16:59:00,,17:06:00,,,17:01:08,17:02:28,17:03:23,17:05:00,17:10:00,17:13:36,17:11:04,17:14:55,,17:16:00,,,17:12:28,,,,
113075601236680001,,17:11:00,,17:18:00,,,17:13:08,17:14:28,17:15:23,17:17:00,17:22:00,17:25:36,17:23:04,17:26:55,,17:28:00,,,17:24:28,,,,
113075602236680001,,17:23:00,,17:30:00,,,17:25:08,17:26:28,17:27:23,17:29:00,17:33:00,17:36:36,17:34:04,17:37:55,,17:39:00,,,17:35:28,,,,
113075603236680001,,17:35:00,,17:42:00,,,17:37:08,17:38:28,17:39:23,17:41:00,17:45:00,17:48:36,17:46:04,17:49:55,,17:51:00,,,17:47:28,,,,
113075604236680001,,17:47:00,,17:54:00,,,17:49:08,17:50:28,17:51:23,17:53:00,17:57:00,18:00:36,17:58:04,18:01:55,,18:03:00,,,17:59:28,,,,
113075605236680001,,17:59:00,,18:06:00,,,18:01:08,18:02:28,18:03:23,18:05:00,18:09:00,18:12:00,18:09:54,18:13:06,,18:14:00,,,18:11:03,,,,
113075606236680001,,18:11:00,,18:17:00,,,18:12:47,18:13:53,18:14:39,18:16:00,18:20:00,18:22:24,18:20:43,18:23:17,,18:24:00,,,18:21:39,,,,
113075607236680001,,18:23:00,,18:29:00,,,18:24:47,18:25:53,18:26:39,18:28:00,18:32:00,18:34:24,18:32:43,18:35:17,,18:36:00,,,18:33:39,,,,
113075608236680001,,18:38:00,,18:44:00,,,18:39:47,18:40:53,18:41:39,18:43:00,18:46:00,18:48:24,18:46:43,18:49:17,,18:50:00,,,18:47:39,,,,
113075609236680001,,18:53:00,,18:59:00,,,18:54:47,18:55:53,18:56:39,18:58:00,19:01:00,19:03:24,19:01:43,19:04:17,,19:05:00,,,19:02:39,,,,
113075610236680001,,19:08:00,,19:14:00,,,19:09:47,19:10:53,19:11:39,19:13:00,19:16:00,19:18:24,19:16:43,19:19:17,,19:20:00,,,19:17:39,,,,
113075611236680001,,19:22:00,,19:28:00,,,19:23:47,19:24:53,19:25:39,19:27:00,19:30:00,19:32:24,19:30:43,19:33:17,,19:34:00,,,19:31:39,,,,
113075612236680001,,19:36:00,,19:42:00,,,19:37:47,19:38:53,19:39:39,19:41:00,19:44:00,19:46:24,19:44:43,19:47:17,,19:48:00,,,19:45:39,,,,
113075613236680001,,20:04:00,,20:09:00,,,20:05:25,20:06:19,20:06:55,20:08:00,20:10:00,20:12:24,20:10:43,20:13:17,,20:14:00,,,20:11:39,,,,
113075614236680001,,20:24:00,,20:29:00,,,20:25:25,20:26:19,20:26:55,20:28:00,20:30:00,20:32:24,20:30:43,20:33:17,,20:34:00,,,20:31:39,,,,
