gid,code_ligne,variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,geom
2497,205b,2,3,1640B,VANDERVELDE,VANDERVELDE,Vandervelde,Vandervelde,155602.000000,170805.000000,B,205,GARE CENTRALE,01010000000000000090FE024100000000A8D90441
2498,205b,2,4,1641,KLAKKEDELLE,KLAKKEDELLE,Klakkedelle,Klakkedelle,155280.000000,170736.000000,B,205,GARE CENTRALE,01010000000000000080F402410000000080D70441
2499,205b,2,5,1382,ROODEBEEK,ROODEBEEK,Roodebeek,Roodebeek,154716.800000,170835.500000,B,205,GARE CENTRALE,010100000066666666E6E20241000000009CDA0441
2500,205b,2,6,1578,HYMANS,HYMANS,Hymans,Hymans,154350.000000,170721.000000,B,205,GARE CENTRALE,01010000000000000070D702410000000008D70441
2501,205b,2,7,3910,MOONENS,MOONENS,Moonens,Moonens,154216.000000,170896.000000,B,205,GARE CENTRALE,01010000000000000040D302410000000080DC0441
2502,205b,2,8,1557,VERHEYLEWEGHEN,VERHEYLEWEGHEN,Verheyleweghen,Verheyleweghen,153934.000000,170885.000000,B,205,GARE CENTRALE,01010000000000000070CA02410000000028DC0441
2503,205b,2,9,1558,SPEECKAERT,SPEECKAERT,Speeckaert,Speeckaert,153628.000000,170913.000000,B,205,GARE CENTRALE,010100000000000000E0C002410000000008DD0441
2504,205b,2,10,1559,HEYDENBERG,HEYDENBERG,Heydenberg,Heydenberg,153360.000000,170926.000000,B,205,GARE CENTRALE,01010000000000000080B802410000000070DD0441
2505,205b,2,11,1560,MAI,MEI,Mai,Mei,153225.000000,170909.000000,B,205,GARE CENTRALE,01010000000000000048B4024100000000E8DC0441
2506,205b,2,12,1561,LEVIE,LEVIE,Levie,Levie,152827.000000,170851.000000,B,205,GARE CENTRALE,010100000000000000D8A702410000000018DB0441
2507,205b,2,13,6454,DIAMANT,DIAMANT,Diamant,Diamant,152309.000000,170982.000000,B,205,GARE CENTRALE,010100000000000000A89702410000000030DF0441
2508,205b,2,14,1563,OPALE,OPAAL,Opale,Opaal,152105.000000,171088.000000,B,205,GARE CENTRALE,010100000000000000489102410000000080E20441
2509,205b,2,15,3216,PLASKY,PLASKY,Plasky,Plasky,151916.000000,171194.000000,B,205,GARE CENTRALE,010100000000000000608B024100000000D0E50441
2510,205b,2,16,3707,JAMBLINNE DE MEUX,JAMBLINNE DE MEUX,de Jamblinne de Meux,de Jamblinne de Meux,151851.000000,170871.000000,B,205,GARE CENTRALE,0101000000000000005889024100000000B8DB0441
2511,205b,2,17,3217,GUEUX,GEUZEN,Gueux,Geuzen,151575.000000,170769.000000,B,205,GARE CENTRALE,010100000000000000B88002410000000088D80441
2512,205b,2,18,3218,MARGUERITE,MARGARETA,Marguerite,Margareta,151313.000000,170744.000000,B,205,GARE CENTRALE,0101000000000000008878024100000000C0D70441
2513,205b,2,19,2920,AMBIORIX,AMBIORIX,Ambiorix,Ambiorix,151056.000000,170809.000000,B,205,GARE CENTRALE,0101000000000000008070024100000000C8D90441
2514,205b,2,20,3219,WATERLOO WILSON,WATERLOO WILSON,Waterloo Wilson,Waterloo Wilson,150877.000000,170823.000000,B,205,GARE CENTRALE,010100000000000000E86A02410000000038DA0441
2515,205b,2,21,1569B,GUTENBERG,GUTENBERG,Gutenberg,Gutenberg,150591.000000,170970.000000,B,205,GARE CENTRALE,010100000000000000F861024100000000D0DE0441
2516,205b,2,22,1570,SAINT-JOSSE,SINT-JOOST,Saint-Josse,Sint-Joost,150374.000000,171046.000000,B,205,GARE CENTRALE,010100000000000000305B02410000000030E10441
